PID,Player,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90
1,Harry Kane,Tottenham,30,2556,29,7,19.82,5.55,0.70,0.20
2,Romelu Lukaku,Everton,37,3271,25,6,16.67,5.44,0.46,0.15
3,Alexis Sánchez,Arsenal,38,3233,24,10,17.72,8.99,0.49,0.25
4,Sergio Agüero,Manchester City,31,2408,20,3,22.67,4.67,0.85,0.17
5,Diego Costa,Chelsea,35,3101,20,7,15.43,4.91,0.45,0.14
6,Dele Alli,Tottenham,37,3060,18,7,14.71,4.57,0.43,0.13
7,Zlatan Ibrahimovic,Manchester United,28,2435,17,5,14.64,5.12,0.54,0.19
8,Joshua King,Bournemouth,36,2734,16,2,10.91,2.41,0.36,0.08
9,Eden Hazard,Chelsea,36,3050,16,5,11.03,6.44,0.33,0.19
10,Christian Benteke,Crystal Palace,36,3153,15,2,17.36,2.06,0.50,0.06
12,Fernando Llorente,Swansea,33,2462,15,1,8.03,2.09,0.29,0.08
13,Son Heung-Min,Tottenham,34,2069,14,6,7.77,4.70,0.34,0.20
14,Philippe Coutinho,Liverpool,31,2265,13,7,8.87,6.26,0.35,0.25
15,Jamie Vardy,Leicester,35,2822,13,5,9.95,4.68,0.32,0.15
16,Sadio Mané,Liverpool,27,2257,13,5,9.48,4.45,0.38,0.18
17,Olivier Giroud,Arsenal,29,1170,12,3,7.00,2.01,0.54,0.15
18,Roberto Firmino,Liverpool,35,3077,11,7,10.36,7.85,0.30,0.23
19,Theo Walcott,Arsenal,28,1944,10,2,9.90,2.53,0.46,0.12
20,Troy Deeney,Watford,37,2940,10,4,8.59,3.11,0.26,0.10
21,Sam Vokes,Burnley,37,2030,10,3,8.35,1.53,0.37,0.07
22,Michail Antonio,West Ham,29,2451,9,3,9.79,3.39,0.36,0.12
23,Pedro,Chelsea,35,2178,9,9,5.99,5.53,0.25,0.23
24,Gylfi Sigurdsson,Swansea,38,3329,9,13,8.57,8.27,0.23,0.22
25,Andre Gray,Burnley,32,2279,9,3,7.56,1.47,0.30,0.06
