PID,Player,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90
1,Harry Kane,Tottenham,38,3382,25,1,22.73,3.09,0.60,0.08
2,Sergio Agüero,Manchester City,30,2399,24,2,20.08,2.03,0.75,0.08
3,Jamie Vardy,Leicester,36,3154,24,6,22.14,6.27,0.63,0.18
4,Romelu Lukaku,Everton,37,3194,18,6,20.06,5.68,0.57,0.16
5,Riyad Mahrez,Leicester,37,3087,17,11,11.88,11.45,0.35,0.33
6,Olivier Giroud,Arsenal,38,2411,16,6,14.50,5.76,0.54,0.22
7,Odion Ighalo,Watford,37,3160,15,3,16.09,2.23,0.46,0.06
9,Alexis Sánchez,Arsenal,30,2463,13,4,13.10,8.55,0.48,0.31
10,Troy Deeney,Watford,38,3291,13,7,12.20,7.92,0.33,0.22
11,André Ayew,Swansea,34,2967,12,2,8.46,2.34,0.26,0.07
12,Diego Costa,Chelsea,28,2386,12,6,12.08,2.89,0.46,0.11
13,Anthony Martial,Manchester United,31,2632,11,4,7.27,6.17,0.25,0.21
14,Gylfi Sigurdsson,Swansea,36,2921,11,3,7.71,5.43,0.24,0.17
15,Georginio Wijnaldum,Newcastle United,38,3178,11,5,7.93,3.82,0.22,0.11
16,Sadio Mané,Southampton,37,2614,11,6,12.51,5.14,0.43,0.18
17,Graziano Pellè,Southampton,30,2167,11,6,7.35,3.99,0.31,0.17
18,Marko Arnautovic,Stoke,34,2836,11,6,12.06,6.12,0.38,0.19
19,Roberto Firmino,Liverpool,31,2005,10,7,7.13,5.40,0.32,0.24
20,Dele Alli,Tottenham,33,2490,10,9,8.32,6.80,0.30,0.25
21,Shane Long,Southampton,28,2114,10,4,10.62,2.71,0.45,0.12
22,Dimitri Payet,West Ham,30,2576,9,12,5.75,11.67,0.20,0.41
23,Andy Carroll,West Ham,27,1411,9,2,6.14,2.76,0.39,0.18
24,Christian Benteke,Liverpool,29,1496,9,3,9.98,2.78,0.60,0.17
25,Aleksandar Mitrovic,Newcastle United,34,2103,9,4,10.34,2.22,0.44,0.10
26,Salomón Rondón,West Bromwich Albion,34,2581,9,2,9.90,1.92,0.35,0.07
27,Daniel Sturridge,Liverpool,14,981,8,1,5.74,0.52,0.53,0.05
28,Philippe Coutinho,Liverpool,26,2019,8,5,6.50,5.29,0.29,0.24
29,Michail Antonio,West Ham,26,2074,8,3,5.90,2.85,0.26,0.12
30,Ross Barkley,Everton,38,3102,8,8,8.79,5.91,0.26,0.17
31,Kelechi Iheanacho,Manchester City,26,727,8,1,4.94,1.59,0.61,0.20
32,Wayne Rooney,Manchester United,28,2411,8,6,7.32,4.48,0.27,0.17
33,Kevin De Bruyne,Manchester City,25,2006,7,9,4.31,8.33,0.19,0.37
34,Mark Noble,West Ham,37,3221,7,4,3.88,3.24,0.11,0.09
36,Pedro,Chelsea,29,2061,7,2,6.12,4.61,0.27,0.20
38,Dusan Tadic,Southampton,34,2318,7,12,6.42,8.64,0.25,0.34
39,Bojan,Stoke,27,1741,7,1,4.59,1.80,0.24,0.09
40,Joshua King,Bournemouth,31,1931,6,2,5.71,3.54,0.27,0.16
41,Mesut Özil,Arsenal,35,3065,6,19,7.92,17.62,0.23,0.52
42,Manuel Lanzini,West Ham,26,1941,6,2,4.53,2.84,0.21,0.13
43,Juan Mata,Manchester United,38,2907,6,5,6.46,5.28,0.20,0.16
44,Raheem Sterling,Manchester City,31,1943,6,2,7.15,3.25,0.33,0.15
45,Christian Eriksen,Tottenham,35,2950,6,13,5.51,9.81,0.17,0.30
46,Bafétimbi Gomis,Swansea,33,1685,6,0,6.10,2.41,0.33,0.13
47,Leonardo Ulloa,Leicester,29,942,6,2,6.91,1.47,0.66,0.14
48,Ayoze Pérez,Newcastle United,34,2046,6,2,3.80,2.89,0.17,0.13
50,Yaya Touré,Manchester City,32,2345,6,5,5.66,4.42,0.22,0.17
51,Callum Wilson,Bournemouth,13,769,5,0,2.35,1.08,0.27,0.13
