PID,Player,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90
1,Mohamed Salah,Liverpool,36,2954,32,10,25.14,8.34,0.77,0.25
2,Harry Kane,Tottenham,37,3094,30,2,26.86,3.82,0.78,0.11
3,Sergio Agüero,Manchester City,25,1985,21,6,18.57,6.53,0.84,0.30
4,Jamie Vardy,Leicester,37,3269,20,1,15.27,3.63,0.42,0.10
5,Raheem Sterling,Manchester City,33,2594,18,11,18.83,8.84,0.65,0.31
6,Romelu Lukaku,Manchester United,34,2869,16,7,15.47,5.47,0.49,0.17
7,Roberto Firmino,Liverpool,37,2814,15,7,10.76,7.68,0.34,0.25
8,Alexandre Lacazette,Arsenal,32,2235,14,4,13.83,4.84,0.56,0.19
9,Gabriel Jesus,Manchester City,29,1692,13,3,15.37,2.31,0.82,0.12
10,Son Heung-Min,Tottenham,37,2315,12,6,11.02,6.59,0.43,0.26
11,Eden Hazard,Chelsea,34,2451,12,4,8.21,7.30,0.30,0.27
12,Riyad Mahrez,Leicester,36,2977,12,10,6.61,7.55,0.20,0.23
13,Glenn Murray,Brighton,35,2204,12,0,12.38,1.24,0.51,0.05
14,Marko Arnautovic,West Ham,31,2343,11,6,9.80,4.45,0.38,0.17
15,Álvaro Morata,Chelsea,31,2069,11,6,13.90,3.58,0.60,0.16
16,Pierre-Emerick Aubameyang,Arsenal,13,1056,10,4,9.17,1.26,0.78,0.11
17,Leroy Sané,Manchester City,32,2421,10,15,6.24,9.05,0.23,0.34
18,Wayne Rooney,Everton,31,2301,10,2,8.91,2.28,0.35,0.09
19,Christian Eriksen,Tottenham,37,3239,10,10,7.25,11.89,0.20,0.33
20,Sadio Mané,Liverpool,29,2230,10,7,11.52,5.25,0.46,0.21
21,Chris Wood,Burnley,24,1639,10,1,7.64,0.60,0.42,0.03
22,Luka Milivojevic,Crystal Palace,36,3087,10,1,7.87,1.26,0.23,0.04
24,Wilfried Zaha,Crystal Palace,29,2551,9,3,9.74,5.30,0.34,0.19
25,Anthony Martial,Manchester United,30,1589,9,5,6.30,5.44,0.36,0.31
26,David Silva,Manchester City,29,2442,9,11,9.24,8.83,0.34,0.33
27,Dele Alli,Tottenham,36,2991,9,10,10.10,8.84,0.30,0.27
28,Ashley Barnes,Burnley,36,2143,9,0,6.56,1.50,0.28,0.06
29,Chicharito,West Ham,28,1524,8,0,5.25,1.42,0.31,0.08
30,Kevin De Bruyne,Manchester City,37,3103,8,16,5.40,13.10,0.16,0.38
31,Joshua King,Bournemouth,33,2458,8,3,6.56,4.89,0.24,0.18
32,Callum Wilson,Bournemouth,28,2007,8,2,7.62,1.55,0.34,0.07
33,Jesse Lingard,Manchester United,33,1836,8,5,8.05,3.58,0.39,0.18
34,Oumar Niasse,Everton,22,1075,8,2,7.42,1.55,0.62,0.13
35,Ayoze Pérez,Newcastle United,36,2502,8,5,6.86,5.45,0.25,0.20
37,Pascal Groß,Brighton,38,2979,7,8,3.34,8.66,0.10,0.26
38,Philippe Coutinho,Liverpool,14,1132,7,6,3.64,4.95,0.29,0.39
40,Aaron Ramsey,Arsenal,24,1849,7,8,6.84,5.92,0.33,0.29
41,Marcus Rashford,Manchester United,35,1792,7,5,5.53,4.60,0.28,0.23
42,Jordan Ayew,Swansea,36,2862,7,2,6.85,1.92,0.22,0.06
45,Charlie Austin,Southampton,24,1023,7,0,7.72,0.69,0.68,0.06
46,Marcos Alonso,Chelsea,33,2869,7,2,4.37,3.06,0.14,0.10
47,Abdoulaye Doucouré,Watford,37,3326,7,3,3.11,2.39,0.08,0.06
48,Steve Mounie,Huddersfield,28,1850,7,1,5.80,1.61,0.28,0.08
49,Willian,Chelsea,36,1872,6,7,5.98,6.17,0.29,0.30
50,Dwight Gayle,Newcastle United,35,1968,6,3,9.67,2.39,0.44,0.11
51,Shinji Okazaki,Leicester,27,1340,6,2,7.49,1.85,0.50,0.12
52,Dusan Tadic,Southampton,36,2854,6,3,5.66,6.16,0.18,0.19
54,Paul Pogba,Manchester United,27,2158,6,10,7.81,4.59,0.33,0.19
55,Bernardo Silva,Manchester City,35,1500,6,4,4.53,3.06,0.27,0.18
56,Laurent Depoitre,Huddersfield,33,1794,6,1,3.59,1.37,0.18,0.07
58,Junior Stanislas,Bournemouth,19,1313,5,2,3.83,1.91,0.26,0.13
59,Nacho Monreal,Arsenal,28,2246,5,2,1.90,3.01,0.08,0.12
60,Danny Welbeck,Arsenal,28,1169,5,2,5.72,1.37,0.44,0.11
61,Manuel Lanzini,West Ham,27,2054,5,6,3.83,3.73,0.17,0.16
62,Troy Deeney,Watford,29,1832,5,2,7.15,2.38,0.35,0.12
63,Fernandinho,Manchester City,34,2890,5,3,2.47,2.84,0.08,0.09
64,James McArthur,Crystal Palace,33,2440,5,1,4.23,2.06,0.16,0.08
65,Tammy Abraham,Swansea,31,1706,5,1,6.16,1.44,0.32,0.08
66,Patrick van Aanholt,Crystal Palace,28,2184,5,1,3.39,2.46,0.14,0.10
68,Manolo Gabbiadini,Southampton,28,1056,5,0,2.52,0.55,0.21,0.05
69,Andre Gray,Watford,31,1486,5,2,7.00,2.32,0.42,0.14
70,Ryan Fraser,Bournemouth,26,2016,5,3,1.98,2.74,0.09,0.12
71,Roberto Pereyra,Watford,32,1618,5,2,3.91,2.67,0.22,0.15
72,Richarlison,Watford,38,2832,5,4,10.66,3.81,0.34,0.12
73,José Izquierdo,Brighton,32,1998,5,3,3.62,2.33,0.16,0.10
74,Cenk Tosun,Everton,14,998,5,0,3.19,1.72,0.29,0.16
75,Ilkay Gündogan,Manchester City,30,1504,4,1,3.58,2.35,0.21,0.14
76,Mesut Özil,Arsenal,26,2166,4,8,4.39,9.13,0.18,0.38
77,Mark Noble,West Ham,29,2411,4,0,2.28,1.81,0.09,0.07
78,Nicolás Otamendi,Manchester City,34,2975,4,0,3.19,1.16,0.10,0.04
79,Chris Smalling,Manchester United,29,2533,4,0,2.17,0.18,0.08,0.01
80,Marouane Fellaini,Manchester United,16,601,4,0,2.73,0.16,0.41,0.02
81,Pedro,Chelsea,31,1523,4,2,3.60,1.69,0.21,0.10
82,Gylfi Sigurdsson,Everton,27,2265,4,3,3.19,3.75,0.13,0.15
83,Jermain Defoe,Bournemouth,24,1074,4,1,4.54,1.02,0.38,0.09
84,Joselu,Newcastle United,30,1730,4,1,6.36,1.30,0.33,0.07
85,Sam Vokes,Burnley,29,953,4,1,3.01,1.15,0.28,0.11
86,Dominic Calvert-Lewin,Everton,32,1861,4,6,5.44,3.07,0.26,0.15
87,Aaron Mooy,Huddersfield,36,3077,4,3,2.86,4.15,0.08,0.12
89,Matt Ritchie,Newcastle United,35,2822,3,5,3.19,6.59,0.10,0.21
90,Alex Iwobi,Arsenal,26,1873,3,5,4.13,3.49,0.20,0.17
92,Bakary Sako,Crystal Palace,16,446,3,0,2.27,0.77,0.46,0.16
93,James Tomkins,Crystal Palace,28,2386,3,0,2.71,0.07,0.10,0.00
94,Michail Antonio,West Ham,21,1347,3,1,2.01,0.92,0.13,0.06
95,Andy Carroll,West Ham,16,739,3,0,1.57,0.53,0.19,0.06
96,Victor Moses,Chelsea,28,2128,3,3,3.08,2.64,0.13,0.11
97,Juan Mata,Manchester United,28,1942,3,5,3.81,4.73,0.18,0.22
98,Emre Can,Liverpool,26,2099,3,4,1.51,3.05,0.06,0.13
99,Christian Benteke,Crystal Palace,31,2224,3,5,11.17,3.28,0.45,0.13
100,Kelechi Iheanacho,Leicester,21,809,3,3,4.83,2.08,0.54,0.23
101,Antonio Valencia,Manchester United,31,2746,3,1,0.54,1.46,0.02,0.05
103,Demarai Gray,Leicester,35,1680,3,1,2.64,3.25,0.14,0.17
104,Daryl Janmaat,Watford,23,1823,3,0,1.65,0.99,0.08,0.05
105,Jamaal Lascelles,Newcastle United,33,2929,3,0,1.51,0.37,0.05,0.01
107,James Ward-Prowse,Southampton,30,1714,3,3,2.31,3.95,0.12,0.21
108,Steven Davis,Southampton,23,1529,3,0,1.29,1.18,0.08,0.07
110,Sam Clucas,Swansea,29,2043,3,1,1.94,0.99,0.09,0.04
111,Shkodran Mustafi,Arsenal,27,2272,3,1,0.72,1.90,0.03,0.08
112,Vicente Iborra,Leicester,19,1424,3,0,1.59,0.48,0.10,0.03
113,Danilo,Manchester City,23,1338,3,2,1.25,0.19,0.08,0.01
114,Anthony Knockaert,Brighton,33,2433,3,1,4.25,3.08,0.16,0.11
115,Rajiv van La Parra,Huddersfield,33,2165,3,0,3.09,0.83,0.13,0.03
116,Sead Kolasinac,Arsenal,27,2154,2,4,2.55,4.01,0.11,0.17
117,Steve Cook,Bournemouth,34,2761,2,1,1.36,1.02,0.04,0.03
118,Andrew Surman,Bournemouth,25,1842,2,5,0.99,1.53,0.05,0.07
119,Dan Gosling,Bournemouth,28,1940,2,1,2.27,0.95,0.11,0.04
121,Jordon Ibe,Bournemouth,32,2005,2,6,2.93,3.75,0.13,0.17
123,Héctor Bellerín,Arsenal,35,3051,2,3,2.47,4.65,0.07,0.14
124,Laurent Koscielny,Arsenal,25,2232,2,0,2.17,0.44,0.09,0.02
125,Cheikhou Kouyaté,West Ham,33,2803,2,3,1.80,0.88,0.06,0.03
126,Pedro Obiang,West Ham,21,1564,2,0,0.33,0.56,0.02,0.03
127,Nathan Aké,Bournemouth,38,3353,2,3,2.23,1.87,0.06,0.05
128,Leighton Baines,Everton,22,1911,2,3,2.07,2.30,0.10,0.11
129,Dejan Lovren,Liverpool,29,2121,2,1,2.01,1.33,0.09,0.06
130,Wilfried Bony,Swansea,15,699,2,0,1.47,0.18,0.19,0.02
