,bps,clean_sheets,element_type,news_added,now_cost,own_goals,penalties_missed,photo,points_per_game,red_cards,second_name,threat,web_name,yellow_cards,Player,PID,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90,Position
0,130,1,1,2018-09-29T17:31:14Z,49,0,0,11334.jpg,3.4,0,Cech,0,Cech,0,Petr Cech,254,Chelsea,7,607,0,0,0.0,0.0,0.0,0.0,Unfilled
1,0,0,2,2018-07-05T14:31:07Z,54,0,0,51507.jpg,0.0,0,Koscielny,0,Koscielny,0,Laurent Koscielny,97,Arsenal,27,2289,3,0,1.27,0.12,0.05,0.0,Unfilled
2,222,2,2,2018-11-03T16:31:13Z,54,1,0,98745.jpg,3.2,0,Bellerín,195,Bellerín,2,Héctor Bellerín,121,Arsenal,20,1564,2,1,0.28,1.77,0.02,0.1,Unfilled
3,124,2,2,2018-10-22T19:31:15Z,54,0,0,38411.jpg,4.3,0,Monreal,161,Monreal,1,Nacho Monreal,256,Arsenal,28,2308,0,1,0.3,1.38,0.01,0.05,Unfilled
4,180,2,3,2018-10-07T10:31:16Z,82,0,0,37605.jpg,4.6,0,Özil,107,Özil,1,Mesut Özil,70,Arsenal,22,1861,4,5,3.86,6.66,0.19,0.32,Unfilled
5,136,3,3,2018-08-02T07:01:09Z,73,0,0,41792.jpg,3.0,0,Ramsey,177,Ramsey,0,Aaron Ramsey,40,Arsenal,29,2013,6,6,6.64,5.3,0.3,0.24,Unfilled
6,63,0,4,2018-11-08T23:01:14Z,65,0,0,50175.jpg,2.4,0,Welbeck,66,Welbeck,0,Danny Welbeck,71,Arsenal--Manchester United,27,1714,4,3,7.27,2.89,0.38,0.15,Unfilled
7,248,4,2,2018-08-05T11:01:10Z,50,0,0,126184.jpg,3.1,0,Aké,161,Aké,1,Nathan Aké,275,Chelsea,1,14,0,0,0.0,0.0,0.0,0.0,Unfilled
8,13,0,3,,50,0,0,103912.jpg,1.2,0,Ibe,54,Ibe,0,Jordon Ibe,251,Liverpool,12,616,0,0,0.59,0.36,0.09,0.05,Unfilled
9,178,2,4,2018-11-26T14:01:15Z,67,0,0,20529.jpg,4.3,0,Murray,321,Murray,2,Glenn Murray,38,Crystal Palace,17,859,7,3,9.53,1.53,1.0,0.16,Unfilled
10,231,3,2,,48,1,0,51927.jpg,2.3,0,Mee,53,Mee,2,Ben Mee,161,Burnley,33,2889,2,1,1.93,0.87,0.06,0.03,Unfilled
11,152,3,3,2018-11-10T14:01:14Z,47,0,0,40145.jpg,2.0,0,Cork,59,Cork,3,Jack Cork,104,Southampton--Swansea,27,1795,3,0,3.13,0.71,0.16,0.04,Unfilled
12,117,3,3,2018-10-26T14:31:14Z,50,0,0,17349.jpg,2.8,0,Lennon,106,Lennon,1,Aaron Lennon,131,Everton--Tottenham,23,1345,2,2,1.22,2.71,0.08,0.18,Unfilled
13,72,1,4,2018-07-24T09:01:08Z,56,0,0,44699.jpg,1.8,0,Barnes,87,Barnes,1,Ashley Barnes,67,Burnley,35,2435,5,2,5.69,1.82,0.21,0.07,Unfilled
14,56,2,4,2018-08-12T12:31:12Z,62,0,0,60689.jpg,1.8,0,Wood,245,Wood,0,Chris Wood,244,Leicester,7,91,1,0,0.72,0.0,0.71,0.0,Unfilled
15,293,3,1,,45,0,0,15749.jpg,3.9,0,Hart,0,Hart,0,Joe Hart,283,Manchester City,36,3240,0,0,0.0,0.0,0.0,0.0,Unfilled
16,0,0,1,2018-08-09T06:49:10Z,55,0,0,60772.jpg,0.0,0,Courtois,0,Courtois,0,Thibaut Courtois,307,Chelsea,32,2813,0,0,0.0,0.22,0.0,0.01,Unfilled
17,0,0,1,,47,0,0,20310.jpg,0.0,0,Caballero,0,Caballero,0,Willy Caballero,286,Manchester City,2,180,0,0,0.0,0.0,0.0,0.0,Unfilled
18,298,6,2,,63,0,0,41328.jpg,4.2,0,Azpilicueta,71,Azpilicueta,0,César Azpilicueta,308,Chelsea,29,2483,0,3,0.25,1.31,0.01,0.05,Unfilled
19,3,0,2,,51,0,0,19419.jpg,1.0,0,Cahill,0,Cahill,0,Gary Cahill,192,Chelsea,36,2986,1,0,1.82,1.69,0.06,0.05,Unfilled
20,0,0,2,2018-09-26T22:31:12Z,50,0,0,135363.jpg,0.0,0,Christensen,0,Christensen,0,Andreas Christensen,247,Chelsea,1,9,0,0,0.0,0.0,0.0,0.0,Unfilled
21,302,4,3,2018-11-25T20:01:14Z,111,0,0,42786.jpg,6.9,0,Hazard,496,Hazard,2,Eden Hazard,7,Chelsea,38,3389,14,9,12.02,11.24,0.32,0.3,Unfilled
22,17,0,3,2018-11-11T13:31:14Z,63,0,0,17878.jpg,1.0,0,Fàbregas,2,Fàbregas,0,Cesc Fàbregas,103,Chelsea,34,2895,3,18,3.25,10.15,0.1,0.32,Unfilled
23,164,3,3,2018-10-20T11:31:16Z,58,0,0,88894.jpg,4.0,0,Barkley,204,Barkley,0,Ross Barkley,130,Everton,29,1967,2,2,3.76,2.57,0.17,0.12,Unfilled
24,0,0,3,,47,0,0,61603.jpg,0.0,0,Drinkwater,0,Drinkwater,0,Daniel Drinkwater,328,Leicester,23,1476,0,0,0.53,0.72,0.03,0.04,Unfilled
25,33,1,3,2018-09-28T13:01:14Z,52,0,0,126187.jpg,3.3,0,Loftus-Cheek,47,Loftus-Cheek,0,Ruben Loftus-Cheek,310,Chelsea,3,139,0,0,0.02,0.08,0.01,0.05,Unfilled
26,102,3,4,2018-11-01T11:31:13Z,77,0,0,44346.jpg,3.2,0,Giroud,214,Giroud,0,Olivier Giroud,6,Arsenal,27,1871,14,3,8.85,3.86,0.43,0.19,Unfilled
27,273,5,1,,45,0,0,20066.jpg,4.4,0,Hennessey,0,Hennessey,0,Wayne Hennessey,261,Crystal Palace,3,213,0,0,0.0,0.0,0.0,0.0,Unfilled
28,0,0,1,,40,0,0,11554.jpg,0.0,0,Speroni,0,Speroni,0,Julian Speroni,264,Crystal Palace,36,3207,0,0,0.0,0.0,0.0,0.0,Unfilled
29,216,5,2,2018-11-10T20:01:15Z,43,0,0,49413.jpg,2.9,0,Tomkins,63,Tomkins,3,James Tomkins,174,West Ham,22,1858,1,3,2.16,2.03,0.1,0.1,Unfilled
30,0,0,2,2018-07-05T14:31:07Z,44,0,0,19188.jpg,0.0,0,Dann,0,Dann,0,Scott Dann,122,Crystal Palace,34,2926,2,3,1.25,3.09,0.04,0.09,Unfilled
31,24,0,2,,39,0,0,58786.jpg,1.0,0,Kelly,0,Kelly,0,Martin Kelly,266,Crystal Palace,31,2503,0,1,0.19,0.81,0.01,0.03,Unfilled
32,71,1,2,,44,0,0,86417.jpg,2.1,0,Schlupp,124,Schlupp,1,Jeffrey Schlupp,108,Leicester,32,2557,3,2,2.3,1.55,0.08,0.05,Unfilled
33,277,5,2,2018-11-24T15:01:16Z,49,0,0,40784.jpg,3.1,0,Sakho,13,Sakho,2,Mamadou Sakho,252,Liverpool,16,1419,0,0,0.11,0.12,0.01,0.01,Unfilled
34,3,0,3,,43,0,0,19197.jpg,1.0,0,Puncheon,0,Puncheon,0,Jason Puncheon,41,Crystal Palace,37,2823,6,7,2.79,5.31,0.09,0.17,Unfilled
35,164,5,3,,47,0,0,50471.jpg,2.8,0,McArthur,102,McArthur,2,James McArthur,137,Crystal Palace,32,2623,2,0,2.07,1.77,0.07,0.06,Unfilled
36,195,5,3,,57,0,0,60252.jpg,3.2,0,Townsend,232,Townsend,1,Andros Townsend,143,Tottenham,17,767,2,2,1.78,0.95,0.21,0.11,Unfilled
37,132,5,4,2018-11-10T20:01:15Z,67,0,0,82403.jpg,3.5,0,Zaha,344,Zaha,3,Wilfried Zaha,73,Crystal Palace,31,1989,4,2,4.76,2.19,0.22,0.1,Unfilled
38,83,4,3,,47,0,0,55037.jpg,2.3,0,Kouyaté,76,Kouyaté,2,Cheikhou Kouyaté,74,West Ham,31,2670,4,2,3.06,1.19,0.1,0.04,Unfilled
39,6,0,2,2018-11-10T16:31:13Z,43,0,0,55494.jpg,1.0,0,Ward,4,Ward,0,Joel Ward,172,Crystal Palace,37,3330,1,0,0.31,0.88,0.01,0.02,Unfilled
40,3,0,2,2018-08-24T16:01:12Z,43,0,0,79228.jpg,1.0,0,Souaré,0,Souaré,0,Pape Souaré,263,Crystal Palace,9,603,0,0,0.04,1.76,0.01,0.26,Unfilled
41,40,0,2,,51,0,0,12745.jpg,1.3,0,Baines,15,Baines,0,Leighton Baines,128,Everton,31,2775,2,9,2.97,6.35,0.1,0.21,Unfilled
42,160,3,2,2018-09-10T17:01:14Z,52,0,0,59949.jpg,3.8,0,Coleman,74,Coleman,1,Seamus Coleman,99,Everton,35,3062,3,2,2.01,2.73,0.06,0.08,Unfilled
43,-2,0,2,2018-11-02T18:01:13Z,43,0,0,7645.jpg,-1.0,1,Jagielka,0,Jagielka,0,Phil Jagielka,77,Everton,37,3295,4,0,2.39,0.07,0.07,0.0,Unfilled
44,0,0,2,2018-08-03T09:26:19Z,45,0,0,19159.jpg,0.0,0,Williams,0,Williams,0,Ashley Williams,315,Swansea,37,3330,0,0,0.4,0.15,0.01,0.0,Unfilled
45,138,4,3,2018-09-16T14:01:13Z,63,0,0,20467.jpg,3.9,0,Walcott,309,Walcott,0,Theo Walcott,54,Arsenal,14,427,5,0,5.35,0.4,1.13,0.08,Unfilled
46,0,0,3,2018-08-26T07:54:10Z,58,0,0,55452.jpg,0.0,0,Bolasie,0,Bolasie,0,Yannick Bolasie,72,Crystal Palace,34,2788,4,6,4.84,5.13,0.16,0.17,Unfilled
47,0,0,3,2018-07-05T14:31:07Z,44,0,0,50472.jpg,0.0,0,McCarthy,0,McCarthy,0,James McCarthy,129,Everton,28,2416,2,1,1.41,1.04,0.05,0.04,Unfilled
48,59,0,3,2018-08-18T17:01:12Z,43,0,0,42774.jpg,1.7,0,Schneiderlin,2,Schneiderlin,1,Morgan Schneiderlin,76,Southampton,26,2183,4,1,2.39,1.56,0.1,0.06,Unfilled
49,276,4,3,2018-11-11T17:31:14Z,74,0,1,55422.jpg,5.5,0,Sigurdsson,333,Sigurdsson,1,Gylfi Sigurdsson,34,Swansea,32,2721,7,10,5.18,8.45,0.17,0.28,Unfilled
50,0,0,3,2018-08-05T06:50:01Z,55,0,0,26901.jpg,0.0,0,Mirallas,0,Mirallas,0,Kevin Mirallas,31,Everton,29,1430,7,1,4.72,1.59,0.3,0.1,Unfilled
51,142,2,2,2018-11-03T23:01:14Z,50,0,0,103192.jpg,2.9,0,Zouma,49,Zouma,0,Kurt Zouma,376,Chelsea,15,633,0,0,0.02,0.03,0.0,0.0,Unfilled
52,0,0,2,,40,0,0,149468.jpg,0.0,0,Browning,0,Browning,0,Tyias Browning,388,Everton,2,24,0,0,0.0,0.03,0.0,0.12,Unfilled
53,74,0,2,2018-10-20T16:31:16Z,42,0,0,101184.jpg,0.8,0,Chambers,56,Chambers,2,Calum Chambers,171,Arsenal,23,1574,1,1,0.81,0.88,0.05,0.05,Unfilled
54,182,0,3,,59,0,0,66842.jpg,3.7,0,Schürrle,317,Schürrle,2,André Schürrle,96,Chelsea,14,428,3,0,3.25,0.6,0.68,0.13,Unfilled
55,243,5,1,,50,0,0,17745.jpg,3.4,0,Schmeichel,4,Schmeichel,1,Kasper Schmeichel,326,Leicester,24,2160,0,0,0.0,0.08,0.0,0.0,Unfilled
56,155,4,2,2018-10-06T17:01:15Z,45,0,0,15033.jpg,2.6,2,Morgan,62,Morgan,1,Wes Morgan,141,Leicester,37,3293,2,2,2.28,0.92,0.06,0.03,Unfilled
57,5,0,2,2018-07-23T19:01:08Z,42,0,0,40725.jpg,1.0,0,Simpson,0,Simpson,0,Danny Simpson,327,Leicester--Queens Park Rangers,15,1257,0,0,0.04,0.47,0.0,0.03,Unfilled
58,128,4,2,2018-11-10T17:31:13Z,48,0,0,37642.jpg,3.6,0,Evans,53,Evans,1,Jonny Evans,336,Manchester United,14,1095,0,0,0.01,0.04,0.0,0.0,Unfilled
59,134,2,3,2018-07-23T19:01:08Z,51,0,0,51938.jpg,2.2,0,Albrighton,135,Albrighton,2,Marc Albrighton,142,Leicester,18,1011,2,3,1.39,3.89,0.12,0.35,Unfilled
60,155,5,4,2018-11-24T15:01:16Z,89,0,0,101668.jpg,4.1,1,Vardy,358,Vardy,0,Jamie Vardy,60,Leicester,34,2261,5,8,7.85,5.18,0.31,0.21,Unfilled
61,0,0,1,2018-09-14T13:01:14Z,48,0,0,66797.jpg,0.0,0,Mignolet,0,Mignolet,0,Simon Mignolet,253,Liverpool,36,3225,0,0,0.0,0.02,0.0,0.0,Unfilled
62,103,3,2,2018-11-07T02:01:16Z,49,0,0,38454.jpg,6.5,0,Lovren,10,Lovren,0,Dejan Lovren,282,Liverpool,26,2032,0,0,0.89,0.07,0.04,0.0,Unfilled
63,13,0,2,,42,0,0,100059.jpg,2.0,0,Moreno,5,Moreno,0,Alberto Moreno,133,Liverpool,28,2273,2,0,1.94,1.66,0.08,0.07,Unfilled
64,0,0,2,2018-11-05T10:01:14Z,46,0,0,57328.jpg,0.0,0,Clyne,0,Clyne,0,Nathaniel Clyne,132,Southampton,35,3148,2,0,0.94,2.09,0.03,0.06,Unfilled
65,0,0,3,2018-07-05T14:31:07Z,64,0,0,81880.jpg,0.0,0,Oxlade-Chamberlain,0,Chamberlain,0,Alex Oxlade-Chamberlain,220,Arsenal,23,1497,1,1,2.85,3.69,0.17,0.22,Unfilled
66,118,3,3,2018-11-24T17:01:15Z,53,0,0,56979.jpg,1.5,1,Henderson,5,Henderson,0,Jordan Henderson,43,Liverpool,37,3253,6,9,4.29,6.79,0.12,0.19,Unfilled
