,bps,clean_sheets,element_type,news_added,now_cost,own_goals,penalties_missed,photo,points_per_game,red_cards,second_name,threat,web_name,yellow_cards,Player,PID,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90,Position
33,176,5,3,,49,0,0,116594.jpg,3.0,0,Kanté,142,Kanté,2,N'Golo Kanté,228,Leicester,37,3011,1,4,0.56,2.73,0.02,0.08,Unfilled
34,155,3,3,2018-10-20T11:31:16Z,59,0,0,88894.jpg,4.6,0,Barkley,163,Barkley,0,Ross Barkley,30,Everton,38,3102,8,8,8.79,5.91,0.26,0.17,Unfilled
35,0,0,3,,47,0,0,61603.jpg,0.0,0,Drinkwater,0,Drinkwater,0,Daniel Drinkwater,159,Leicester,35,3045,2,7,2.19,5.32,0.06,0.16,Unfilled
36,33,1,3,2018-09-28T13:01:14Z,52,0,0,126187.jpg,3.3,0,Loftus-Cheek,47,Loftus-Cheek,0,Ruben Loftus-Cheek,216,Chelsea,13,399,1,0,0.95,0.14,0.22,0.03,Unfilled
37,75,3,4,2018-11-01T11:31:13Z,77,0,0,44346.jpg,3.0,0,Giroud,197,Giroud,0,Olivier Giroud,6,Arsenal,38,2411,16,6,14.5,5.76,0.54,0.22,Unfilled
38,207,3,1,,46,0,0,20066.jpg,3.9,0,Hennessey,0,Hennessey,0,Wayne Hennessey,288,Crystal Palace,29,2610,0,0,0.0,0.0,0.0,0.0,Unfilled
39,0,0,1,,40,0,0,11554.jpg,0.0,0,Speroni,0,Speroni,0,Julian Speroni,291,Crystal Palace,2,180,0,0,0.0,0.0,0.0,0.0,Unfilled
40,164,3,2,2018-09-15T13:01:13Z,43,0,0,49413.jpg,2.6,0,Tomkins,46,Tomkins,2,James Tomkins,296,West Ham,25,1979,0,0,0.39,1.61,0.02,0.07,Unfilled
41,0,0,2,2018-07-05T14:31:07Z,44,0,0,19188.jpg,0.0,0,Dann,0,Dann,0,Scott Dann,56,Crystal Palace,35,3150,5,1,2.54,0.63,0.07,0.02,Unfilled
42,21,0,2,,39,0,0,58786.jpg,1.0,0,Kelly,0,Kelly,0,Martin Kelly,293,Crystal Palace,13,1039,0,0,0.01,0.13,0.0,0.01,Unfilled
43,62,1,2,,45,0,0,86417.jpg,2.4,0,Schlupp,115,Schlupp,1,Jeffrey Schlupp,229,Leicester,24,1383,1,2,1.99,2.21,0.13,0.14,Unfilled
44,209,3,2,,50,0,0,40784.jpg,2.8,0,Sakho,13,Sakho,1,Mamadou Sakho,185,Liverpool,22,1856,1,0,0.83,0.07,0.04,0.0,Unfilled
45,1,0,3,,43,0,0,19197.jpg,1.0,0,Puncheon,0,Puncheon,0,Jason Puncheon,126,Crystal Palace,31,2647,2,3,3.87,4.14,0.13,0.14,Unfilled
46,103,3,3,,47,0,0,50471.jpg,2.4,0,McArthur,96,McArthur,2,James McArthur,143,Crystal Palace,28,2206,2,2,1.06,1.09,0.04,0.04,Unfilled
47,0,0,3,2018-08-12T10:04:56Z,50,0,0,44343.jpg,0.0,0,Sako,0,Sako,0,Bakary Sako,127,Crystal Palace,20,1073,2,1,2.36,1.89,0.2,0.16,Unfilled
48,122,3,4,2018-10-17T08:31:15Z,68,0,0,82403.jpg,3.8,0,Zaha,308,Zaha,3,Wilfried Zaha,128,Crystal Palace,34,2507,2,1,2.62,4.47,0.09,0.16,Unfilled
49,5,1,4,2018-09-06T10:01:13Z,63,0,0,54861.jpg,2.0,0,Benteke,170,Benteke,0,Christian Benteke,24,Liverpool,29,1496,9,3,9.98,2.78,0.6,0.17,Unfilled
50,56,2,3,,47,0,0,55037.jpg,1.9,0,Kouyaté,56,Kouyaté,2,Cheikhou Kouyaté,60,West Ham,34,3017,5,2,5.84,1.38,0.17,0.04,Unfilled
51,6,0,2,2018-10-19T14:31:16Z,43,0,0,55494.jpg,1.0,0,Ward,4,Ward,0,Joel Ward,124,Crystal Palace,30,2694,2,1,1.15,1.8,0.04,0.06,Unfilled
52,3,0,2,2018-08-24T16:01:12Z,43,0,0,79228.jpg,1.0,0,Souaré,0,Souaré,0,Pape Souaré,289,Crystal Palace,34,3017,0,1,0.32,2.52,0.01,0.08,Unfilled
53,2,0,4,2018-11-02T14:31:13Z,49,0,0,59125.jpg,1.0,0,Wickham,0,Wickham,0,Connor Wickham,59,Crystal Palace,21,1328,5,3,4.32,0.87,0.29,0.06,Unfilled
54,40,0,2,,51,0,0,12745.jpg,1.3,0,Baines,15,Baines,0,Leighton Baines,134,Everton,18,1473,2,1,1.21,1.67,0.07,0.1,Unfilled
55,111,1,2,2018-09-10T17:01:14Z,52,0,0,59949.jpg,3.1,0,Coleman,72,Coleman,1,Seamus Coleman,199,Everton,28,2392,1,3,2.32,1.44,0.09,0.05,Unfilled
56,-5,0,2,2018-11-02T18:01:13Z,43,0,0,7645.jpg,-3.0,1,Jagielka,0,Jagielka,0,Phil Jagielka,323,Everton,21,1854,0,0,0.81,0.14,0.04,0.01,Unfilled
57,0,0,2,2018-08-03T09:26:19Z,45,0,0,19159.jpg,0.0,0,Williams,0,Williams,0,Ashley Williams,152,Swansea,36,3240,2,1,1.78,0.44,0.05,0.01,Unfilled
58,0,0,2,2018-08-17T15:01:12Z,45,0,0,56192.jpg,0.0,0,Martina,0,Martina,0,Cuco Martina,243,Southampton,15,1076,1,1,0.11,1.35,0.01,0.11,Unfilled
59,121,2,3,2018-09-16T14:01:13Z,63,0,0,20467.jpg,3.8,0,Walcott,260,Walcott,0,Theo Walcott,54,Arsenal,28,1374,5,2,8.39,2.04,0.55,0.13,Unfilled
60,0,0,3,2018-08-26T07:54:10Z,58,0,0,55452.jpg,0.0,0,Bolasie,0,Bolasie,0,Yannick Bolasie,58,Crystal Palace,26,2075,5,3,4.79,3.79,0.21,0.16,Unfilled
61,0,0,3,2018-07-05T14:31:07Z,44,0,0,50472.jpg,0.0,0,McCarthy,0,McCarthy,0,James McCarthy,135,Everton,29,2445,2,2,0.82,1.39,0.03,0.05,Unfilled
62,59,0,3,2018-08-18T17:01:12Z,44,0,0,42774.jpg,1.7,0,Schneiderlin,2,Schneiderlin,1,Morgan Schneiderlin,195,Manchester United,29,2204,1,0,0.83,0.41,0.03,0.02,Unfilled
63,231,2,3,,75,0,1,55422.jpg,5.3,0,Sigurdsson,288,Sigurdsson,1,Gylfi Sigurdsson,14,Swansea,36,2921,11,3,7.71,5.43,0.24,0.17,Unfilled
64,-2,0,4,,51,0,0,113688.jpg,1.0,0,Niasse,16,Niasse,0,Oumar Niasse,326,Everton,5,139,0,0,0.13,0.46,0.09,0.3,Unfilled
65,0,0,3,2018-08-05T06:50:01Z,55,0,0,26901.jpg,0.0,0,Mirallas,0,Mirallas,0,Kevin Mirallas,82,Everton,23,985,4,2,3.34,1.83,0.31,0.17,Unfilled
66,139,2,2,2018-11-03T23:01:14Z,50,0,0,103192.jpg,3.1,0,Zouma,49,Zouma,0,Kurt Zouma,258,Chelsea,23,1912,1,1,1.84,0.55,0.09,0.03,Unfilled
