8,Jermain Defoe Sunderland,33,2558,15,1,11.71,1.10,0.41,0.04
18,Marko Arnautovic Stoke,34,2836,11,6,12.06,6.12,0.38,0.19
26,Salomón Rondón West Bromwich Albion,34,2581,9,2,9.90,1.92,0.35,0.07
35,Jordan Ayew Aston Villa,30,2356,7,0,4.69,1.47,0.18,0.06
37,Dieumerci Mbokani Norwich,29,1568,7,1,6.59,1.54,0.38,0.09
39,Bojan Stoke,27,1741,7,1,4.59,1.80,0.24,0.09
49,Nathan Redmond Norwich,35,2321,6,3,3.43,3.64,0.13,0.14
66,Rudy Gestede Aston Villa,32,1632,5,2,5.70,1.43,0.31,0.08
69,Fabio Borini Sunderland,26,1913,5,2,4.93,1.74,0.23,0.08
71,Jonathan Walters Stoke,27,1718,5,3,5.67,2.37,0.30,0.12
72,Mame Biram Diouf Stoke,26,1246,5,1,5.14,0.76,0.37,0.05
87,Patrick van Aanholt Sunderland,33,2970,4,3,2.54,3.80,0.08,0.12
88,Andros Townsend,Newcastle United,,Tottenham,16,1149,4,2,1.47,2.82,0.11,0.22
89,Wes Hoolahan Norwich,30,2026,4,8,3.47,4.91,0.15,0.22
90,Craig Dawson West Bromwich Albion,38,3387,4,0,4.99,3.27,0.13,0.09
91,Saido Berahino West Bromwich Albion,31,1727,4,0,7.12,1.01,0.37,0.05
92,Steven Naismith,Everton, Norwich,23,1343,4,1,3.01,2.08,0.20,0.14
94,Joselu Stoke,22,1072,4,1,3.42,0.89,0.29,0.07
95,Steven Fletcher Sunderland,16,1021,4,0,3.11,0.81,0.27,0.07
109,Jeremain Lens Sunderland,20,1299,3,3,1.34,2.98,0.09,0.21
110,Russell Martin Norwich,30,2699,3,0,1.84,1.07,0.06,0.04
111,Robbie Brady Norwich,36,2996,3,2,2.79,5.05,0.08,0.15
112,Jonny Howson Norwich,36,2960,3,4,2.25,2.89,0.07,0.09
113,Cameron Jerome Norwich,34,1770,3,2,8.22,0.37,0.42,0.02
114,Craig Gardner West Bromwich Albion,34,2037,3,3,4.14,3.02,0.18,0.13
117,Glenn Murray,Bournemouth,,Crystal Palace,21,789,3,0,4.02,0.52,0.46,0.06
118,Xherdan Shaqiri Stoke,27,2072,3,6,3.07,6.42,0.13,0.28
119,Duncan Watmore Sunderland,23,880,3,1,1.47,0.95,0.15,0.10
121,James Morrison West Bromwich Albion,18,1354,3,3,1.89,1.12,0.13,0.07
144,Ashley Westwood Aston Villa,32,2720,2,2,1.75,3.15,0.06,0.10
145,Carles Gil Aston Villa,23,1454,2,0,0.76,1.49,0.05,0.09
146,Scott Sinclair Aston Villa,27,1598,2,0,2.82,0.13,0.16,0.01
156,Lamine Koné Sunderland,15,1318,2,1,2.46,0.75,0.17,0.05
157,Wahbi Khazri Sunderland,14,1087,2,1,0.86,2.23,0.07,0.18
164,Alexander Tettey Norwich,23,1956,2,0,0.67,0.11,0.03,0.01
165,Stéphane Sessegnon West Bromwich Albion,25,1770,2,2,1.29,2.79,0.07,0.14
166,James McClean West Bromwich Albion,35,2414,2,2,2.17,3.03,0.08,0.11
170,Giannelli Imbula Stoke,14,1260,2,0,0.76,0.45,0.05,0.03
171,Ibrahim Afellay Stoke,31,2105,2,2,2.38,2.04,0.10,0.09
174,Adam Johnson Sunderland,19,1136,2,5,1.81,2.19,0.14,0.17
178,Timm Klose Norwich,10,849,1,0,0.54,0.00,0.06,0.00
182,Lewis Grabban,Bournemouth, Norwich,21,806,1,0,2.31,0.42,0.26,0.05
213,Micah Richards Aston Villa,24,2049,1,1,1.01,0.42,0.04,0.02
214,Leandro Bacuna Aston Villa,31,2421,1,0,1.91,1.20,0.07,0.04
215,Jack Grealish Aston Villa,16,831,1,0,0.60,0.64,0.06,0.07
224,Dame N'Doye Sunderland,11,562,1,0,0.54,0.26,0.09,0.04
225,Yann M'Vila Sunderland,37,3194,1,4,0.87,4.28,0.02,0.12
226,Jack Rodwell Sunderland,22,1137,1,0,2.49,0.85,0.20,0.07
227,Billy Jones Sunderland,24,2039,1,1,2.41,1.10,0.11,0.05
232,Jonjo Shelvey,Newcastle United,,Swansea,31,2270,1,5,2.54,4.39,0.10,0.17
234,Nathan Dyer,Leicester,,Swansea,13,209,1,1,0.26,0.57,0.11,0.25
235,Martin Olsson Norwich,24,1767,1,2,0.16,0.90,0.01,0.05
236,Matthew Jarvis Norwich,,West Ham,22,1100,1,1,1.02,1.54,0.08,0.13
237,Jonas Olsson West Bromwich Albion,28,2019,1,1,0.99,1.05,0.04,0.05
238,Gareth McAuley West Bromwich Albion,34,3060,1,0,0.52,0.69,0.02,0.02
239,Jonny Evans West Bromwich Albion,30,2600,1,1,1.24,0.78,0.04,0.03
240,Darren Fletcher West Bromwich Albion,38,3377,1,3,2.50,2.58,0.07,0.07
241,Rickie Lambert West Bromwich Albion,19,604,1,1,1.44,0.92,0.21,0.14
242,Sebastien Bassong Norwich,32,2788,1,0,1.37,0.07,0.04,0.00
250,Charlie Adam Stoke,22,1050,1,1,0.87,0.83,0.07,0.07
251,Ciaran Clark Aston Villa,18,1442,1,0,0.89,0.70,0.06,0.04
253,Gabriel Agbonlahor Aston Villa,15,1051,1,2,1.24,1.48,0.11,0.13
257,Steven Whittaker Norwich,8,660,1,0,0.46,0.04,0.06,0.00
266,Jan Kirchhoff Sunderland,15,1096,0,0,0.58,0.47,0.05,0.04
318,Costel Pantilimon Sunderland,17,1530,0,0,0.00,0.02,0.00,0.00
351,Brad Guzan Aston Villa,28,2520,0,0,0.00,0.04,0.00,0.00
352,Alan Hutton Aston Villa,28,2331,0,1,0.55,2.28,0.02,0.09
353,Aly Cissokho Aston Villa,18,1605,0,0,0.11,0.50,0.01,0.03
