12,Aleksandar Mitrovic Fulham,11,990,5,1,4.78,0.54,0.43,0.05
18,André Schürrle Fulham,11,872,4,0,1.95,1.11,0.20,0.11
129,Jean Michael Seri Fulham,11,915,1,2,0.12,1.80,0.01,0.18
145,Ryan Sessegnon Fulham,11,826,1,1,1.58,1.22,0.17,0.13
171,Calum Chambers Fulham,6,338,0,0,0.06,0.00,0.01,0.00
188,Timothy Fosu-Mensah Fulham,7,505,0,0,0.08,0.31,0.01,0.05
292,Alfie Mawson Fulham,4,266,0,0,0.30,0.04,0.10,0.01
310,Sergio Rico Fulham,2,180,0,0,0.00,0.00,0.00,0.00
312,Luciano Vietto Fulham,9,547,0,4,0.96,2.08,0.16,0.34
316,Fabri Fulham,2,180,0,0,0.00,0.00,0.00,0.00
320,Maxime Le Marchand Fulham,8,691,0,0,0.05,0.02,0.01,0.00
321,Floyd Ayité Fulham,4,90,0,0,0.14,0.00,0.14,0.00
333,Aboubakar Kamara Fulham,4,242,0,0,0.57,0.45,0.21,0.17
373,Franck Zambo Fulham,9,483,0,0,0.16,0.12,0.03,0.02
390,Cyrus Christie Fulham,6,398,0,0,0.05,0.65,0.01,0.15
391,Joe Bryan Fulham,4,325,0,0,0.04,0.22,0.01,0.06
392,Tom Cairney Fulham,6,386,0,1,0.06,0.65,0.01,0.15
393,Kevin McDonald Fulham,9,617,0,0,0.11,0.10,0.02,0.01
394,Stefan Johansen Fulham,8,307,0,0,0.04,0.05,0.01,0.02
408,Marcus Bettinelli Fulham,7,630,0,0,0.00,0.00,0.00,0.00
409,Denis Odoi Fulham,9,763,0,0,0.10,0.14,0.01,0.02
410,Tim Ream Fulham,4,325,0,0,0.00,0.00,0.00,0.00
