11,Jermain Defoe Sunderland,37,3324,15,2,13.65,1.37,0.37,0.04
26,Álvaro Negredo Middlesbrough,36,2891,9,4,8.80,4.10,0.27,0.13
32,Salomón RondónWest Bromwich Albion,38,2902,8,2,9.36,2.85,0.29,0.09
41,Peter Crouch Stoke,27,1319,7,2,5.87,3.20,0.40,0.22
43,Robert Snodgrass Hull--West Ham,35,2563,7,5,4.38,4.32,0.15,0.15
47,Joe Allen Stoke,36,2942,6,2,5.68,4.65,0.17,0.14
54,Gareth McAuleyWest Bromwich Albion,36,3150,6,1,3.69,0.38,0.11,0.01
57,Marko Arnautovic Stoke,32,2742,6,5,9.20,7.13,0.30,0.23
66,Nacer ChadliWest Bromwich Albion,31,2169,5,5,5.81,4.27,0.24,0.18
71,James MorrisonWest Bromwich Albion,31,1736,5,2,2.48,1.38,0.13,0.07
80,Oumar Niasse Hull,17,1083,4,1,3.60,0.81,0.30,0.07
83,Craig DawsonWest Bromwich Albion,37,3281,4,0,2.97,1.10,0.08,0.03
86,Jonathan Walters Stoke,23,1278,4,2,4.32,0.89,0.30,0.06
87,Xherdan Shaqiri Stoke,21,1721,4,2,2.62,4.27,0.14,0.22
89,Abel Hernández Hull,24,1439,4,3,4.71,1.04,0.29,0.07
90,Cristhian Stuani Middlesbrough,23,1369,4,0,2.81,0.53,0.18,0.03
91,Marten de Roon Middlesbrough,33,2779,4,0,2.81,0.71,0.09,0.02
94,Matt PhillipsWest Bromwich Albion,27,2208,4,8,2.85,4.39,0.12,0.18
110,Victor Anichebe Sunderland,18,1212,3,0,2.43,0.72,0.18,0.05
113,Bojan Stoke,9,474,3,0,2.82,0.16,0.53,0.03
114,Chris BruntWest Bromwich Albion,31,2478,3,4,1.59,4.87,0.06,0.18
117,Sam Clucas Hull,37,3195,3,1,2.78,1.54,0.08,0.04
118,Hal Robson-KanuWest Bromwich Albion,29,654,3,2,1.94,0.80,0.27,0.11
119,Michael Dawson Hull,22,1718,3,0,0.69,0.24,0.04,0.01
135,Wilfried Bony Stoke,10,702,2,0,2.46,0.84,0.32,0.11
139,Younes Kaboul Sunderland--Watford,23,1919,2,0,1.42,0.07,0.07,0.00
140,Fabio Borini Sunderland,24,1739,2,0,2.04,0.59,0.11,0.03
146,Jonny EvansWest Bromwich Albion,31,2635,2,1,1.81,0.33,0.06,0.01
147,Darren FletcherWest Bromwich Albion,38,3242,2,3,1.87,1.75,0.05,0.05
149,Gastón Ramírez Middlesbrough,24,1561,2,3,3.11,3.01,0.18,0.17
154,Andrea Ranocchia Hull,16,1330,2,2,0.82,0.59,0.06,0.04
158,Harry Maguire Hull,29,2311,2,2,1.97,0.84,0.08,0.03
159,Adama Diomande Hull,22,1149,2,0,2.54,0.66,0.20,0.05
165,Lazar Markovic Hull,12,1024,2,0,2.22,0.45,0.20,0.04
196,Ryan Mason Hull,16,931,1,0,0.61,0.33,0.06,0.03
201,Rudy Gestede Middlesbrough,16,514,1,0,1.29,0.78,0.23,0.14
208,Lamine Koné Sunderland,30,2544,1,0,1.97,0.52,0.07,0.02
209,Wahbi Khazri Sunderland,21,824,1,0,1.14,1.92,0.12,0.21
210,Billy Jones Sunderland,27,2273,1,0,1.84,2.12,0.07,0.08
220,James McCleanWest Bromwich Albion,34,1444,1,2,1.49,2.33,0.09,0.15
227,Marc Muniesa Stoke,10,644,1,0,0.23,0.09,0.03,0.01
