4,Charlie Austin Queens Park Rangers,35,3078,18,5,17.88,2.55,0.52,0.07
8,Saido BerahinoWest Bromwich Albion,38,2940,14,1,13.84,1.96,0.42,0.06
9,Christian BentekeAston Villa,29,2380,13,2,8.46,2.92,0.32,0.11
17,Mame Biram Diouf Stoke,34,2451,11,3,11.65,3.47,0.43,0.13
28,Jonathan Walters Stoke,32,2439,8,4,5.56,3.24,0.21,0.12
29,Peter Crouch Stoke,33,1648,8,2,6.73,1.88,0.37,0.10
30,Nikica Jelavic Hull,26,1815,8,1,4.89,0.86,0.24,0.04
37,Charlie Adam Stoke,29,1482,7,1,3.41,2.65,0.21,0.16
46,Leroy Fer Queens Park Rangers,29,2375,6,2,5.12,3.59,0.19,0.14
48,Gabriel AgbonlahorAston Villa,34,2698,6,1,5.63,1.55,0.19,0.05
56,Connor Wickham Sunderland,36,2782,5,1,7.66,1.77,0.25,0.06
58,Dame N'Doye Hull,15,1195,5,1,5.47,1.08,0.41,0.08
63,Steven Fletcher Sunderland,30,1782,5,2,6.64,2.05,0.34,0.10
82,Jermain Defoe Sunderland,17,1468,4,0,4.02,1.26,0.25,0.08
87,Bojan Stoke,16,1236,4,1,2.60,1.70,0.19,0.12
88,Adam Johnson Sunderland,32,2085,4,1,3.22,3.92,0.14,0.17
89,Jordi Gómez Sunderland,29,1952,4,2,3.72,1.79,0.17,0.08
90,Brown IdeyeWest Bromwich Albion,24,1286,4,2,3.97,1.23,0.28,0.09
92,Abel Hernández Hull,25,1307,4,1,5.41,0.85,0.37,0.06
94,Mohamed Diamé Hull--West Ham,15,937,4,0,1.21,0.17,0.12,0.02
95,Eduardo Vargas Queens Park Rangers,21,1389,3,2,3.48,1.82,0.23,0.12
98,Victor Moses Stoke,19,1473,3,3,4.52,2.32,0.28,0.14
100,Tom CleverleyAston Villa--Manchester United,32,2633,3,0,1.79,1.35,0.06,0.05
106,Jack Rodwell Sunderland,23,1483,3,0,2.48,0.28,0.15,0.02
107,Sebastian Larsson Sunderland,36,3079,3,3,2.72,3.49,0.08,0.10
111,Craig GardnerWest Bromwich Albion,35,2697,3,4,3.34,3.34,0.11,0.11
112,Victor AnichebeWest Bromwich Albion,21,1019,3,1,1.85,1.33,0.16,0.12
114,Matt Phillips Queens Park Rangers,25,1827,3,8,3.09,3.04,0.15,0.15
