1,Liverpool,10
2,Chelsea,8
3,Manchester City,8
4,Tottenham,7
5,Crystal Palace,6
6,Leicester,5
7,Newcastle United,5
8,Wolverhampton Wanderers,5
9,Bournemouth,4
10,Burnley,4
11,Everton,4
12,Southampton,4
13,Arsenal,3
14,Brighton,3
15,Cardiff,3
16,Huddersfield,3
17,Watford,3
18,West Ham,3
19,Manchester United,2
