PID,Player,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90
279,James Ward-Prowse,Southampton,7,298,0,0,0.70,0.55,0.21,0.17
280,Maya Yoshida,Southampton,6,540,0,0,0.31,0.12,0.05,0.02
281,Paul Dummett,Newcastle United,11,901,0,0,0.11,0.20,0.01,0.02
282,Phil Bardsley,Burnley,5,450,0,0,0.05,0.44,0.01,0.09
283,Fabian Delph,Manchester City,8,562,0,0,0.03,0.05,0.01,0.01
284,Harry Arter,Cardiff,14,1184,0,0,0.52,0.60,0.04,0.05
285,Steven Davis,Southampton,3,96,0,1,0.00,0.43,0.00,0.40
286,Matt Targett,Southampton,6,434,0,2,0.13,1.09,0.03,0.23
287,Kyle Walker-Peters,Tottenham,1,11,0,0,0.00,0.00,0.00,0.00
288,Andreas Pereira,Manchester United,4,158,0,0,0.06,0.00,0.03,0.00
289,Kurt Zouma,Everton,13,903,0,1,0.29,0.06,0.03,0.01
290,Phil Jones,Manchester United,3,239,0,0,0.00,0.00,0.00,0.00
291,Joe Bennett,Cardiff,12,1052,0,1,0.09,0.56,0.01,0.05
292,Harry Winks,Tottenham,14,604,0,0,0.02,0.10,0.00,0.01
293,Paulo Gazzaniga,Tottenham,2,180,0,0,0.00,0.00,0.00,0.00
294,Mason Holgate,Everton,5,407,0,0,0.00,0.00,0.00,0.00
295,Joseph Gomez,Liverpool,13,1044,0,0,0.23,0.42,0.02,0.04
296,Tyrone Mings,Bournemouth,4,131,0,0,0.00,0.06,0.00,0.04
297,Jack Wilshere,West Ham,5,338,0,1,0.05,0.44,0.01,0.12
298,Tom Davies,Everton,7,509,0,0,0.09,0.12,0.02,0.02
299,Jonjoe Kenny,Everton,4,360,0,1,0.02,0.17,0.00,0.04
300,Davide Zappacosta,Chelsea,2,14,0,0,0.15,0.00,0.98,0.00
301,Wesley Hoedt,Southampton,13,1170,0,0,0.57,0.02,0.04,0.00
302,Alisson Ramses Becker,Liverpool,17,1530,0,0,0.00,0.00,0.00,0.00
303,Mario Lemina,Southampton,15,1329,0,1,0.78,0.91,0.05,0.06
304,Stephan Lichtsteiner,Arsenal,6,341,0,0,0.02,0.04,0.00,0.01
305,Adam Masina,Watford,4,274,0,1,0.00,0.24,0.00,0.08
306,Matthew Lowton,Burnley,12,1080,0,0,0.06,0.30,0.00,0.03
307,Ben Mee,Burnley,17,1530,0,2,0.31,0.85,0.02,0.05
308,Stephen Ward,Burnley,3,235,0,0,0.08,0.05,0.03,0.02
309,Steven Defour,Burnley,6,459,0,0,0.00,0.05,0.00,0.01
310,Nathaniel Chalobah,Watford,6,189,0,0,0.07,0.22,0.03,0.11
311,Andrew Robertson,Liverpool,15,1350,0,3,0.33,3.51,0.02,0.23
312,Javier Manquillo,Newcastle United,7,461,0,1,0.00,0.45,0.00,0.09
313,Christian Kabasele,Watford,12,935,0,0,1.49,0.12,0.14,0.01
314,Alfie Mawson,Fulham,10,806,0,0,0.32,0.05,0.04,0.01
315,Fernando Llorente,Tottenham,3,16,0,0,0.14,0.13,0.81,0.73
316,Jack Stephens,Southampton,8,673,0,0,0.39,0.23,0.05,0.03
317,Eric Bailly,Manchester United,7,380,0,0,0.00,0.00,0.00,0.00
318,Kevin Long,Burnley,5,424,0,0,0.04,0.00,0.01,0.00
319,Lys Mousset,Bournemouth,9,54,0,0,0.00,0.00,0.00,0.00
320,Rob Holding,Arsenal,10,807,0,0,0.12,0.17,0.01,0.02
321,Ainsley Maitland-Niles,Arsenal,2,48,0,0,0.00,0.05,0.00,0.09
322,Ben Hamer,Huddersfield,3,192,0,0,0.00,0.00,0.00,0.00
323,Arthur Masuaku,West Ham,13,1070,0,1,0.01,0.35,0.00,0.03
324,Stefano Okaka,Watford,2,18,0,0,0.56,0.15,2.78,0.75
325,Ramadan Sobhi,Huddersfield,4,68,0,0,0.00,0.17,0.00,0.22
326,Nampalys Mendy,Leicester,15,1321,0,0,0.05,0.00,0.00,0.00
327,Lewis Cook,Bournemouth,13,718,0,0,0.13,0.06,0.02,0.01
328,Martín Montoya,Brighton,9,810,0,0,0.11,0.54,0.01,0.06
329,Vicente Iborra,Leicester,8,220,0,0,0.27,0.10,0.11,0.04
330,Sergio Rico,Fulham,8,720,0,0,0.00,0.00,0.00,0.00
331,Vicente Guaita,Crystal Palace,1,90,0,0,0.00,0.00,0.00,0.00
332,Danilo,Manchester City,1,90,0,0,0.10,0.00,0.10,0.00
333,Mateo Kovacic,Chelsea,15,874,0,1,1.24,0.63,0.13,0.06
334,Luciano Vietto,Fulham,12,646,0,4,1.07,2.18,0.15,0.30
335,Christian Atsu,Newcastle United,11,483,0,0,0.66,0.73,0.12,0.14
336,André Gomes,Everton,9,803,0,1,1.02,0.52,0.11,0.06
337,Mat Ryan,Brighton,17,1530,0,0,0.00,0.00,0.00,0.00
338,Fabri,Fulham,2,180,0,0,0.00,0.00,0.00,0.00
339,Erik Durm,Huddersfield,12,823,0,1,0.19,0.29,0.02,0.03
340,Oleksandr Zinchenko,Manchester City,2,145,0,0,0.11,0.50,0.07,0.31
341,Issa Diop,West Ham,15,1350,0,0,0.30,0.12,0.02,0.01
342,Maxime Le Marchand,Fulham,12,1038,0,1,0.07,0.68,0.01,0.06
343,Floyd Ayité,Fulham,6,136,0,0,0.14,0.00,0.09,0.00
344,Benjamin Mendy,Manchester City,9,810,0,5,0.21,2.05,0.02,0.23
345,Fabinho,Liverpool,8,562,0,1,0.19,0.49,0.03,0.08
346,Hélder Costa,Wolverhampton Wanderers,17,1172,0,2,1.80,1.96,0.14,0.15
347,Jonas Lössl,Huddersfield,15,1338,0,0,0.00,0.03,0.00,0.00
348,Romain Saiss,Wolverhampton Wanderers,6,267,0,0,0.04,0.00,0.01,0.00
349,Serge Aurier,Tottenham,6,429,0,2,0.07,1.19,0.02,0.25
350,Steve Mounie,Huddersfield,13,785,0,1,2.19,1.01,0.25,0.12
351,Jazz Richards,Cardiff,3,86,0,0,0.00,0.00,0.00,0.00
352,Mohamed Diamé,Newcastle United,17,1517,0,0,0.86,0.13,0.05,0.01
353,Bruno Ecuele Manga,Cardiff,17,1530,0,1,0.08,0.28,0.00,0.02
354,Kiko Femenía,Watford,15,945,0,1,0.06,0.95,0.01,0.09
355,Kepa,Chelsea,17,1530,0,0,0.00,0.00,0.00,0.00
356,Diego Rico,Bournemouth,5,288,0,0,0.07,0.93,0.02,0.29
357,Marc Navarro,Watford,1,86,0,0,0.00,0.00,0.00,0.00
358,Florent Hadergjonaj,Huddersfield,15,1141,0,0,0.21,1.02,0.02,0.08
359,Bernardo,Brighton,7,554,0,1,0.06,0.28,0.01,0.04
360,Naby Keita,Liverpool,13,687,0,0,1.59,0.53,0.21,0.07
361,Caglar Söyüncü,Leicester,4,193,0,0,0.06,0.00,0.03,0.00
362,Declan Rice,West Ham,14,1218,0,0,0.24,0.57,0.02,0.04
363,Ademola Lookman,Everton,11,295,0,1,0.46,1.49,0.14,0.45
364,Scott McTominay,Manchester United,6,249,0,0,0.53,0.00,0.19,0.00
365,Aaron Wan-Bissaka,Crystal Palace,16,1426,0,1,0.17,0.97,0.01,0.06
366,Yves Bissouma,Brighton,15,764,0,0,0.92,0.24,0.11,0.03
367,Isaac Mbenza,Huddersfield,11,197,0,0,0.28,0.04,0.13,0.02
368,Adama Diakhaby,Huddersfield,7,231,0,0,0.00,0.10,0.00,0.04
369,Matteo Guendouzi,Arsenal,14,822,0,0,0.15,0.87,0.02,0.10
370,Fousseni Diabate,Leicester,1,55,0,0,0.00,0.08,0.00,0.12
371,Tommy Smith,Huddersfield,4,266,0,0,0.04,0.13,0.01,0.04
372,Chris Löwe,Huddersfield,13,1075,0,1,0.25,1.26,0.02,0.11
373,Rajiv van La Parra,Huddersfield,5,411,0,0,0.24,0.07,0.05,0.02
