PID,Player,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90
110,Nacho Monreal,Arsenal,9,741,1,2,1.22,0.81,0.15,0.10
111,Alexis Sánchez,Manchester United,10,476,1,2,1.11,2.12,0.21,0.40
112,Alex Iwobi,Arsenal,14,800,1,2,1.42,1.86,0.16,0.21
113,Danny Welbeck,Arsenal,8,137,1,1,0.79,0.28,0.52,0.19
114,Olivier Giroud,Chelsea,14,491,1,4,2.44,2.11,0.45,0.39
115,Aaron Ramsey,Arsenal,15,655,1,6,0.76,1.56,0.10,0.21
116,Ander Herrera,Manchester United,10,543,1,1,1.00,1.16,0.17,0.19
117,Etienne Capoue,Watford,13,1170,1,2,0.37,0.46,0.03,0.04
118,Nathan Aké,Bournemouth,17,1530,1,0,2.45,0.00,0.14,0.00
119,Craig Cathcart,Watford,17,1526,1,0,1.49,0.11,0.09,0.01
120,Seamus Coleman,Everton,13,1138,1,0,0.26,0.90,0.02,0.07
121,Aaron Lennon,Burnley,16,1223,1,1,0.92,0.66,0.07,0.05
122,Fernandinho,Manchester City,17,1508,1,3,0.97,2.14,0.06,0.13
123,Kelechi Iheanacho,Leicester,16,808,1,3,2.17,1.32,0.24,0.15
124,Chris Smalling,Manchester United,13,1140,1,0,0.93,0.06,0.07,0.00
125,Ashley Young,Manchester United,12,1080,1,2,0.28,1.58,0.02,0.13
126,Kyle Walker,Manchester City,14,1260,1,0,0.22,0.46,0.02,0.03
127,Jan Vertonghen,Tottenham,9,769,1,0,0.60,0.13,0.07,0.01
128,Christian Eriksen,Tottenham,14,882,1,6,1.21,2.75,0.12,0.28
129,Kieran Trippier,Tottenham,13,1088,1,3,0.19,3.03,0.02,0.25
130,Kenedy,Newcastle United,15,1115,1,1,2.25,0.74,0.18,0.06
131,Jack Cork,Burnley,16,1425,1,1,0.77,0.85,0.05,0.05
132,DeAndre Yedlin,Newcastle United,15,1309,1,1,1.07,1.11,0.07,0.08
133,Patrick van Aanholt,Crystal Palace,17,1498,1,1,1.59,1.26,0.10,0.08
134,Marc Albrighton,Leicester,16,881,1,2,0.52,1.38,0.05,0.14
135,Georginio Wijnaldum,Liverpool,16,1355,1,0,1.50,0.50,0.10,0.03
136,Alex Pritchard,Huddersfield,14,1060,1,0,1.67,0.28,0.14,0.02
137,Adam Smith,Bournemouth,12,975,1,0,0.47,0.22,0.04,0.02
138,Ryan Bertrand,Southampton,12,1080,1,0,0.62,1.36,0.05,0.11
139,Cédric Soares,Southampton,15,1317,1,2,0.27,1.13,0.02,0.08
140,Adama Traoré,Wolverhampton Wanderers,14,434,1,0,0.77,1.15,0.16,0.24
141,Luke Shaw,Manchester United,12,1064,1,1,0.67,0.82,0.06,0.07
142,Matej Vydra,Burnley,7,257,1,0,0.73,0.05,0.25,0.02
143,Manolo Gabbiadini,Southampton,12,459,1,0,1.73,0.25,0.34,0.05
144,Jorginho,Chelsea,16,1397,1,0,0.87,1.01,0.06,0.06
145,Marcos Alonso,Chelsea,17,1519,1,3,2.16,1.80,0.13,0.11
146,Michael Keane,Everton,14,1260,1,2,1.15,1.11,0.08,0.08
147,David Luiz Moreira Marinho,Chelsea,16,1440,1,0,1.25,0.82,0.08,0.05
148,Isaac Success,Watford,17,714,1,0,2.30,1.60,0.29,0.20
149,Jeff Hendrick,Burnley,13,686,1,0,1.08,0.13,0.14,0.02
150,Trent Alexander-Arnold,Liverpool,13,1148,1,2,0.72,1.27,0.06,0.10
151,Antonio Rüdiger,Chelsea,17,1509,1,0,1.89,0.76,0.11,0.05
152,Lucas Digne,Everton,15,1249,1,2,0.49,4.38,0.04,0.32
153,Jefferson Lerma,Bournemouth,13,1124,1,0,0.45,0.20,0.04,0.02
154,Jonny,Wolverhampton Wanderers,13,1109,1,0,1.16,0.45,0.09,0.04
155,Víctor Camarasa,Cardiff,16,1415,1,2,0.99,1.76,0.06,0.11
156,Aymeric Laporte,Manchester City,17,1441,1,0,1.67,0.24,0.10,0.02
157,Jon Gorenc Stankovic,Huddersfield,2,91,1,0,0.59,0.00,0.59,0.00
158,Rachid Ghezzal,Leicester,11,478,1,0,1.14,1.57,0.22,0.30
159,Ricardo Pereira,Leicester,14,1239,1,1,0.40,0.85,0.03,0.06
160,Jean Michael Seri,Fulham,17,1344,1,2,0.25,2.35,0.02,0.16
161,João Moutinho,Wolverhampton Wanderers,17,1376,1,1,0.28,2.47,0.02,0.16
162,Chris Wood,Burnley,17,879,1,0,1.49,0.08,0.15,0.01
163,Anthony Knockaert,Brighton,15,1068,1,4,1.53,2.05,0.13,0.17
164,Wilfred Ndidi,Leicester,17,1499,1,0,1.62,1.27,0.10,0.08
165,Domingos Quina,Watford,3,217,1,0,0.18,0.08,0.07,0.03
166,Christopher Schindler,Huddersfield,17,1516,1,0,0.71,0.40,0.04,0.02
167,Philip Billing,Huddersfield,16,1398,1,0,1.03,1.12,0.07,0.07
168,Solly March,Brighton,17,1294,1,5,1.14,3.88,0.08,0.27
169,Terence Kongolo,Huddersfield,14,1141,1,0,0.41,0.43,0.03,0.03
170,Will Hughes,Watford,15,1156,1,1,1.67,1.39,0.13,0.11
171,Juan Foyth,Tottenham,5,450,1,0,0.63,0.00,0.13,0.00
172,Beram Kayal,Brighton,10,692,1,1,0.24,1.18,0.03,0.15
173,Fred,Manchester United,8,502,1,0,0.75,0.82,0.13,0.15
174,Danny Ward,Cardiff,9,318,1,0,0.19,0.18,0.05,0.05
175,Ryan Sessegnon,Fulham,16,1233,1,3,2.31,1.94,0.17,0.14
176,Willy Boly,Wolverhampton Wanderers,17,1530,1,0,1.24,0.38,0.07,0.02
177,Fabián Balbuena,West Ham,16,1440,1,0,2.37,0.15,0.15,0.01
178,Kadeem Harris,Cardiff,8,217,1,0,0.41,0.10,0.17,0.04
179,Aron Gunnarsson,Cardiff,9,777,1,0,0.63,0.16,0.07,0.02
180,Fabian Schär,Newcastle United,7,573,0,0,0.52,0.15,0.08,0.02
181,Jannik Vestergaard,Southampton,9,810,0,0,0.23,0.17,0.03,0.02
182,Bernd Leno,Arsenal,11,943,0,0,0.00,0.00,0.00,0.00
183,Andreas Christensen,Chelsea,1,90,0,0,0.00,0.00,0.00,0.00
184,Elias Kachunga,Huddersfield,3,158,0,0,0.09,0.00,0.05,0.00
185,Max Meyer,Crystal Palace,14,784,0,2,1.24,0.61,0.14,0.07
186,Sead Kolasinac,Arsenal,6,518,0,1,0.08,2.89,0.01,0.50
187,Sokratis,Arsenal,10,848,0,0,0.07,0.03,0.01,0.00
188,Kevin De Bruyne,Manchester City,4,86,0,0,0.05,0.17,0.05,0.18
189,Simon Francis,Bournemouth,15,1083,0,2,0.12,0.40,0.01,0.03
190,Charlie Daniels,Bournemouth,10,866,0,0,0.10,0.27,0.01,0.03
191,Andrew Surman,Bournemouth,9,630,0,0,0.12,0.39,0.02,0.06
192,Matt Ritchie,Newcastle United,15,1138,0,2,1.56,1.78,0.12,0.14
193,Dan Gosling,Bournemouth,12,642,0,0,0.53,0.48,0.07,0.07
194,Jordon Ibe,Bournemouth,6,206,0,0,0.46,0.20,0.20,0.09
195,Mamadou Sakho,Crystal Palace,17,1530,0,0,0.22,0.19,0.01,0.01
196,Adam Lallana,Liverpool,4,158,0,0,0.06,0.07,0.04,0.04
197,Petr Cech,Arsenal,7,587,0,0,0.00,0.00,0.00,0.00
198,Héctor Bellerín,Arsenal,17,1445,0,4,0.97,2.39,0.06,0.15
199,Laurent Koscielny,Arsenal,1,90,0,0,0.03,0.00,0.03,0.00
200,Calum Chambers,Fulham,11,788,0,0,0.64,0.13,0.07,0.01
201,Wayne Hennessey,Crystal Palace,16,1440,0,0,0.00,0.00,0.00,0.00
202,Joel Ward,Crystal Palace,2,100,0,0,0.34,0.00,0.31,0.00
