PID,Player,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90
1,Sergio Agüero,Manchester City,33,2551,26,8,25.27,5.57,0.89,0.20
2,Harry Kane,Tottenham,34,2589,21,4,17.16,3.92,0.60,0.14
3,Diego Costa,Chelsea,26,2111,20,3,15.22,4.55,0.65,0.19
5,Alexis Sánchez,Arsenal,35,2967,16,8,13.45,8.49,0.41,0.26
6,Olivier Giroud,Arsenal,27,1871,14,3,8.85,3.86,0.43,0.19
7,Eden Hazard,Chelsea,38,3389,14,9,12.02,11.24,0.32,0.30
10,David Silva,Manchester City,32,2682,12,7,9.10,10.39,0.31,0.35
11,Wayne Rooney,Manchester United,33,2887,12,5,8.90,3.98,0.28,0.12
12,Graziano Pellè,Southampton,38,3291,12,2,18.62,4.48,0.51,0.12
13,Wilfried Bony,Manchester City--Swansea,30,1604,11,3,10.45,3.51,0.59,0.20
14,Nacer Chadli,Tottenham,35,2423,11,5,6.87,3.94,0.26,0.15
15,Leonardo Ulloa,Leicester,37,2434,11,3,8.92,3.79,0.33,0.14
16,Papiss Demba Cissé,Newcastle United,22,1137,11,1,8.96,0.33,0.71,0.03
18,Danny Ings,Burnley,35,3048,11,4,12.29,4.24,0.36,0.13
19,Romelu Lukaku,Everton,36,2880,10,5,12.43,2.35,0.39,0.07
20,Christian Eriksen,Tottenham,38,3160,10,2,7.39,6.09,0.21,0.17
21,Diafra Sakho,West Ham,23,1765,10,2,9.07,2.62,0.46,0.13
22,Sadio Mané,Southampton,30,2142,10,3,8.55,3.98,0.36,0.17
23,Yaya Touré,Manchester City,29,2358,10,1,7.11,3.24,0.27,0.12
24,Robin van Persie,Manchester United,27,2126,10,2,11.60,2.99,0.49,0.13
25,Juan Mata,Manchester United,33,2318,9,4,6.60,4.97,0.26,0.19
26,Steven Gerrard,Liverpool,28,2239,9,1,7.11,3.21,0.29,0.13
27,Ki Sung-yueng,Swansea,33,2692,8,1,4.33,1.26,0.14,0.04
31,Kevin Mirallas,Everton,29,1430,7,1,4.72,1.59,0.30,0.10
32,Raheem Sterling,Liverpool,35,3059,7,7,8.79,6.04,0.26,0.18
33,Loïc Remy,Chelsea--Queens Park Rangers,21,839,7,0,4.66,0.61,0.50,0.06
34,Gylfi Sigurdsson,Swansea,32,2721,7,10,5.18,8.45,0.17,0.28
35,Bafétimbi Gomis,Swansea,31,1619,7,0,7.50,0.89,0.42,0.05
36,Ayoze Pérez,Newcastle United,36,2369,7,0,5.75,2.90,0.22,0.11
38,Glenn Murray,Crystal Palace,17,859,7,3,9.53,1.53,1.00,0.16
39,Santiago Cazorla,Arsenal,37,2999,7,11,10.59,9.76,0.32,0.29
40,Aaron Ramsey,Arsenal,29,2013,6,6,6.64,5.30,0.30,0.24
41,Jason Puncheon,Crystal Palace,37,2823,6,7,2.79,5.31,0.09,0.17
42,Ander Herrera,Manchester United,26,1877,6,4,2.04,2.12,0.10,0.10
43,Jordan Henderson,Liverpool,37,3253,6,9,4.29,6.79,0.12,0.19
44,Marouane Fellaini,Manchester United,27,1824,6,0,5.31,1.15,0.26,0.06
45,Oscar,Chelsea,28,2072,6,8,6.54,5.22,0.28,0.23
47,Steven Naismith,Everton,31,2051,6,0,3.95,1.94,0.17,0.09
49,Stewart Downing,West Ham,37,3315,6,8,4.14,6.63,0.11,0.18
50,Frank Lampard,Manchester City,32,958,6,1,4.00,0.95,0.38,0.09
51,Adam Lallana,Liverpool,27,1802,5,3,4.77,3.14,0.24,0.16
52,Philippe Coutinho,Liverpool,35,2810,5,5,4.38,5.53,0.14,0.18
53,James Milner,Manchester City,32,1732,5,7,5.72,4.97,0.30,0.26
54,Theo Walcott,Arsenal,14,427,5,0,5.35,0.40,1.13,0.08
55,Mile Jedinak,Crystal Palace,24,2092,5,3,3.90,0.99,0.17,0.04
57,Andy Carroll,West Ham,14,1032,5,1,3.69,0.77,0.32,0.07
59,Dwight Gayle,Crystal Palace,25,1069,5,1,5.16,0.77,0.43,0.06
60,Jamie Vardy,Leicester,34,2261,5,8,7.85,5.18,0.31,0.21
61,Shane Long,Southampton,32,1522,5,5,4.04,2.74,0.24,0.16
62,John Terry,Chelsea,38,3420,5,0,5.22,0.40,0.14,0.01
64,Stevan Jovetic,Manchester City,17,791,5,3,3.33,1.81,0.38,0.21
65,George Boyd,Burnley--Hull,36,3035,5,2,3.48,3.56,0.10,0.11
66,David Nugent,Leicester,29,1685,5,2,6.23,1.89,0.33,0.10
67,Ashley Barnes,Burnley,35,2435,5,2,5.69,1.82,0.21,0.07
68,Esteban Cambiasso,Leicester,31,2432,5,1,2.48,1.94,0.09,0.07
69,Daniel Sturridge,Liverpool,12,747,4,1,4.52,1.52,0.54,0.18
70,Mesut Özil,Arsenal,22,1861,4,5,3.86,6.66,0.19,0.32
71,Danny Welbeck,Arsenal--Manchester United,27,1714,4,3,7.27,2.89,0.38,0.15
72,Yannick Bolasie,Crystal Palace,34,2788,4,6,4.84,5.13,0.16,0.17
73,Wilfried Zaha,Crystal Palace,31,1989,4,2,4.76,2.19,0.22,0.10
74,Cheikhou Kouyaté,West Ham,31,2670,4,2,3.06,1.19,0.10,0.04
75,Enner Valencia,West Ham,32,2119,4,3,6.48,2.59,0.28,0.11
76,Morgan Schneiderlin,Southampton,26,2183,4,1,2.39,1.56,0.10,0.06
77,Phil Jagielka,Everton,37,3295,4,0,2.39,0.07,0.07,0.00
78,Chris Smalling,Manchester United,25,1881,4,0,1.86,0.39,0.09,0.02
79,Fraizer Campbell,Crystal Palace,20,1187,4,0,4.22,0.47,0.32,0.04
80,Branislav Ivanovic,Chelsea,38,3420,4,5,4.37,5.32,0.12,0.14
81,Falcao,Manchester United,26,1278,4,4,7.16,1.89,0.50,0.13
83,Riyad Mahrez,Leicester,30,2091,4,3,4.92,6.06,0.21,0.26
84,Jack Colback,Newcastle United,35,3130,4,6,2.82,2.34,0.08,0.07
85,Moussa Sissoko,Newcastle United,34,3037,4,2,3.95,4.65,0.12,0.14
86,Dusan Tadic,Southampton,31,2072,4,7,5.63,9.00,0.24,0.39
91,Edin Dzeko,Manchester City,22,928,4,2,3.97,1.31,0.39,0.13
93,Didier Drogba,Chelsea,28,831,4,1,2.73,1.53,0.30,0.17
96,André Schürrle,Chelsea,14,428,3,0,3.25,0.60,0.68,0.13
97,Laurent Koscielny,Arsenal,27,2289,3,0,1.27,0.12,0.05,0.00
99,Seamus Coleman,Everton,35,3062,3,2,2.01,2.73,0.06,0.08
101,Fernandinho,Manchester City,33,2283,3,3,2.41,2.70,0.09,0.11
102,Danny Rose,Tottenham,28,2386,3,4,1.67,2.91,0.06,0.11
103,Cesc Fàbregas,Chelsea,34,2895,3,18,3.25,10.15,0.10,0.32
104,Jack Cork,Southampton--Swansea,27,1795,3,0,3.13,0.71,0.16,0.04
105,Wayne Routledge,Swansea,29,2327,3,1,3.86,2.31,0.15,0.09
108,Jeffrey Schlupp,Leicester,32,2557,3,2,2.30,1.55,0.08,0.05
109,Jonjo Shelvey,Swansea,31,2471,3,5,4.55,2.94,0.17,0.11
110,Nathan Dyer,Swansea,32,1879,3,2,2.02,2.24,0.10,0.11
113,Victor Wanyama,Southampton,32,2367,3,1,1.72,0.93,0.07,0.04
116,Morgan Amalfitano,West Ham,24,1174,3,1,2.62,1.00,0.20,0.08
117,Ángel Di María,Manchester United,27,1642,3,10,2.93,7.30,0.16,0.40
118,Samuel Eto'o,Everton,14,765,3,1,2.37,1.01,0.28,0.12
121,Héctor Bellerín,Arsenal,20,1564,2,1,0.28,1.77,0.02,0.10
