,bps,clean_sheets,element_type,news_added,now_cost,own_goals,penalties_missed,photo,points_per_game,red_cards,second_name,threat,web_name,yellow_cards,Player,PID,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90,Position
0,130,1,1,2018-09-29T17:31:14Z,49,0,0,11334.jpg,3.4,0,Cech,0,Cech,0,Petr Cech,288,Arsenal,35,3097,0,0,0.0,0.0,0.0,0.0,Unfilled
1,0,0,2,2018-07-05T14:31:07Z,54,0,0,51507.jpg,0.0,0,Koscielny,0,Koscielny,0,Laurent Koscielny,124,Arsenal,33,2828,2,0,1.33,0.2,0.04,0.01,Unfilled
2,222,2,2,2018-11-03T16:31:13Z,54,1,0,98745.jpg,3.2,0,Bellerín,195,Bellerín,2,Héctor Bellerín,169,Arsenal,33,2496,1,4,2.27,3.57,0.08,0.13,Unfilled
3,124,2,2,2018-10-22T19:31:15Z,54,0,0,38411.jpg,4.3,0,Monreal,161,Monreal,1,Nacho Monreal,290,Arsenal,36,3152,0,2,1.13,1.93,0.03,0.06,Unfilled
4,221,2,2,,54,0,0,69140.jpg,2.7,0,Mustafi,107,Mustafi,2,Shkodran Mustafi,160,Arsenal,26,2274,2,2,1.1,0.97,0.04,0.04,Unfilled
5,180,2,3,2018-10-07T10:31:16Z,82,0,0,37605.jpg,4.6,0,Özil,107,Özil,1,Mesut Özil,28,Arsenal,33,2856,8,9,5.61,8.07,0.18,0.25,Unfilled
6,136,3,3,2018-08-02T07:01:09Z,73,0,0,41792.jpg,3.0,0,Ramsey,177,Ramsey,0,Aaron Ramsey,170,Arsenal,23,1212,1,4,3.51,4.43,0.26,0.33,Unfilled
7,116,0,3,2018-09-03T09:01:13Z,55,0,0,153133.jpg,2.9,0,Iwobi,170,Iwobi,0,Alex Iwobi,98,Arsenal,26,1471,3,3,3.23,2.22,0.2,0.14,Unfilled
8,0,0,3,2018-10-31T10:31:13Z,43,0,0,153256.jpg,0.0,0,Elneny,0,Elneny,0,Mohamed Elneny,291,Arsenal,14,693,0,1,0.55,0.13,0.07,0.02,Unfilled
9,186,2,3,,53,0,0,84450.jpg,2.9,0,Xhaka,79,Xhaka,4,Granit Xhaka,120,Arsenal,32,2492,2,2,0.91,2.12,0.03,0.08,Unfilled
10,115,0,3,2018-09-21T11:31:13Z,67,0,0,57249.jpg,3.4,0,Mkhitaryan,277,Mkhitaryan,0,Henrikh Mkhitaryan,74,Manchester United,24,1347,4,1,2.71,3.52,0.18,0.24,Unfilled
11,63,0,4,2018-11-08T23:01:14Z,65,0,0,50175.jpg,2.4,0,Welbeck,66,Welbeck,0,Danny Welbeck,125,Arsenal,16,743,2,2,3.47,1.16,0.42,0.14,Unfilled
12,236,4,1,2018-11-13T09:31:15Z,45,0,0,40349.jpg,3.2,0,Begovic,0,Begovic,0,Asmir Begovic,358,Chelsea,2,180,0,0,0.0,0.0,0.0,0.0,Unfilled
13,0,0,1,,40,0,0,18726.jpg,0.0,0,Boruc,0,Boruc,0,Artur Boruc,275,Bournemouth,35,3150,0,0,0.0,0.02,0.0,0.0,Unfilled
14,197,3,2,2018-11-03T12:31:13Z,44,0,0,15149.jpg,2.5,0,Francis,26,Francis,0,Simon Francis,276,Bournemouth,34,2945,0,1,0.17,1.57,0.01,0.05,Unfilled
15,266,4,2,,46,0,0,56917.jpg,3.3,0,Cook,114,Steve Cook,1,Steve Cook,121,Bournemouth,38,3420,2,0,1.65,0.48,0.04,0.01,Unfilled
16,115,2,2,2018-10-27T14:01:13Z,42,0,0,41320.jpg,2.6,0,Daniels,45,Daniels,1,Charlie Daniels,75,Bournemouth,34,3060,4,3,1.61,2.17,0.05,0.06,Unfilled
17,184,4,2,2018-11-10T17:31:13Z,45,0,0,54469.jpg,3.1,1,Smith,51,Adam Smith,1,Adam Smith,222,Bournemouth,36,3094,1,5,1.39,4.81,0.04,0.14,Unfilled
18,248,4,2,2018-08-05T11:01:10Z,50,0,0,126184.jpg,3.1,0,Aké,161,Aké,1,Nathan Aké,104,Bournemouth--Chelsea,12,826,3,1,2.19,1.01,0.24,0.11,Unfilled
19,0,0,3,2018-08-29T15:31:12Z,43,0,0,20037.jpg,0.0,0,Pugh,0,Pugh,0,Marc Pugh,123,Bournemouth,21,1345,2,2,1.6,1.88,0.11,0.13,Unfilled
20,64,1,3,,46,0,0,15237.jpg,1.7,0,Surman,15,Surman,1,Andrew Surman,277,Bournemouth,22,1803,0,1,0.51,0.44,0.03,0.02,Unfilled
21,64,0,3,2018-11-10T17:31:13Z,60,0,0,56872.jpg,2.4,0,Stanislas,97,Stanislas,1,Junior Stanislas,33,Bournemouth,21,1489,7,5,4.85,3.85,0.29,0.23,Unfilled
22,79,1,3,2018-11-30T10:01:14Z,48,0,0,40387.jpg,1.3,0,Gosling,54,Gosling,3,Dan Gosling,122,Bournemouth,27,1336,2,0,1.46,0.78,0.1,0.05,Unfilled
23,13,0,3,,50,0,0,103912.jpg,1.2,0,Ibe,54,Ibe,0,Jordon Ibe,284,Bournemouth,25,1067,0,0,0.84,1.05,0.07,0.09,Unfilled
