,bps,clean_sheets,element_type,news_added,now_cost,own_goals,penalties_missed,photo,points_per_game,red_cards,second_name,threat,web_name,yellow_cards,Player,PID,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90,Position
0,130,1,1,2018-09-29T17:31:14Z,48,0,0,11334.jpg,3.4,0,Cech,0,Cech,0,Petr Cech,246,Arsenal,7,587,0,0,0.0,0.0,0.0,0.0,Unfilled
1,366,3,1,,48,0,0,80201.jpg,3.0,0,Leno,0,Leno,0,Bernd Leno,233,Arsenal,21,1843,0,0,0.0,0.0,0.0,0.0,Unfilled
2,169,1,2,2019-02-21T20:31:20Z,54,0,0,51507.jpg,3.7,0,Koscielny,78,Koscielny,1,Laurent Koscielny,99,Arsenal,9,686,2,0,1.59,0.0,0.21,0.0,Unfilled
3,304,4,2,2019-01-19T20:01:19Z,54,1,0,98745.jpg,3.2,0,Bellerín,280,Bellerín,3,Héctor Bellerín,247,Arsenal,19,1539,0,5,0.96,2.46,0.06,0.14,Unfilled
4,213,2,2,2018-12-22T14:31:17Z,54,0,0,38411.jpg,3.5,0,Monreal,167,Monreal,2,Nacho Monreal,140,Arsenal,13,1047,1,3,1.22,1.41,0.1,0.12,Unfilled
5,148,1,2,2018-12-05T23:01:16Z,43,0,0,156074.jpg,2.4,0,Holding,14,Holding,1,Rob Holding,365,Arsenal,10,807,0,0,0.12,0.17,0.01,0.02,Unfilled
6,359,4,2,2019-02-03T20:31:19Z,54,0,0,69140.jpg,2.5,0,Mustafi,191,Mustafi,6,Shkodran Mustafi,114,Arsenal,23,1909,2,0,1.13,0.21,0.05,0.01,Unfilled
7,301,3,2,2018-12-22T12:31:16Z,51,1,0,111457.jpg,3.9,0,Kolasinac,193,Kolasinac,3,Sead Kolasinac,237,Arsenal,16,1389,0,4,0.31,5.92,0.02,0.38,Unfilled
8,68,0,2,2019-02-24T17:31:21Z,45,0,0,27335.jpg,0.9,0,Lichtsteiner,19,Lichtsteiner,2,Stephan Lichtsteiner,348,Arsenal,12,784,0,0,0.02,0.05,0.0,0.01,Unfilled
9,227,3,3,2019-02-09T17:01:20Z,79,0,0,37605.jpg,3.8,0,Özil,143,Özil,1,Mesut Özil,70,Arsenal,15,1090,3,1,1.01,2.71,0.08,0.22,Unfilled
10,212,5,3,2019-02-09T17:01:20Z,71,0,0,41792.jpg,2.8,0,Ramsey,374,Ramsey,0,Aaron Ramsey,100,Arsenal,23,984,2,6,2.32,2.17,0.21,0.2,Unfilled
11,277,2,3,2019-02-24T17:31:21Z,54,0,0,153133.jpg,3.0,0,Iwobi,401,Iwobi,0,Alex Iwobi,71,Arsenal,24,1413,3,4,2.72,4.93,0.17,0.31,Unfilled
12,13,0,3,2018-10-31T10:31:13Z,42,0,0,153256.jpg,1.0,0,Elneny,51,Elneny,0,Mohamed Elneny,248,Arsenal,4,154,0,0,0.31,0.08,0.18,0.05,Unfilled
13,360,5,3,2019-02-03T16:31:23Z,52,0,0,84450.jpg,3.0,0,Xhaka,165,Xhaka,7,Granit Xhaka,67,Arsenal,23,1982,3,1,1.65,2.44,0.08,0.11,Unfilled
14,232,2,3,2018-12-21T11:31:16Z,67,0,0,57249.jpg,4.3,0,Mkhitaryan,387,Mkhitaryan,0,Henrikh Mkhitaryan,44,Arsenal,16,1003,5,2,3.71,2.89,0.33,0.26,Unfilled
15,101,0,3,2019-02-21T17:31:20Z,44,0,0,154043.jpg,2.7,0,Maitland-Niles,92,Maitland-Niles,1,Ainsley Maitland-Niles,189,Arsenal,9,517,1,1,0.99,0.93,0.17,0.16,Unfilled
16,63,0,4,2018-11-08T23:01:14Z,64,0,0,50175.jpg,2.4,0,Welbeck,66,Welbeck,0,Danny Welbeck,142,Arsenal,8,137,1,1,0.79,0.28,0.52,0.19,Unfilled
17,445,4,4,2018-11-25T13:01:16Z,95,0,0,59966.jpg,5.0,0,Lacazette,902,Lacazette,2,Alexandre Lacazette,11,Arsenal,26,1798,11,5,8.77,2.6,0.44,0.13,Unfilled
18,543,5,4,2019-02-07T14:31:19Z,110,0,0,54694.jpg,5.8,0,Aubameyang,932,Aubameyang,0,Pierre-Emerick Aubameyang,3,Arsenal,26,2031,15,4,15.17,3.58,0.67,0.16,Unfilled
19,367,5,3,2018-09-23T14:31:13Z,48,0,0,198849.jpg,2.6,0,Torreira,177,Torreira,5,Lucas Torreira,109,Arsenal,27,1924,2,2,1.6,1.58,0.07,0.07,Unfilled
20,249,2,3,2018-11-01T01:01:15Z,44,0,0,242166.jpg,1.5,0,Guendouzi,99,Guendouzi,5,Matteo Guendouzi,410,Arsenal,23,1549,0,0,0.36,1.21,0.02,0.07,Unfilled
21,4,0,2,,45,0,0,80254.jpg,1.0,0,Jenkinson,0,Jenkinson,0,Carl Jenkinson,332,Arsenal,1,29,0,0,0.0,0.0,0.0,0.0,Unfilled
22,4,0,3,,63,0,0,89572.jpg,1.0,0,Suárez,0,Suárez,0,Denis Suárez,377,Arsenal,2,35,0,0,0.0,0.0,0.0,0.0,Unfilled
23,348,5,1,2018-11-13T09:31:15Z,43,0,0,40349.jpg,2.8,0,Begovic,0,Begovic,0,Asmir Begovic,300,Bournemouth,22,1980,0,0,0.0,0.0,0.0,0.0,Unfilled
24,98,2,1,,40,0,0,18726.jpg,4.4,0,Boruc,0,Boruc,1,Artur Boruc,239,Bournemouth,5,450,0,0,0.0,0.0,0.0,0.0,Unfilled
25,244,4,2,2018-12-26T18:01:16Z,43,0,0,15149.jpg,2.4,0,Francis,39,Francis,1,Simon Francis,240,Bournemouth,17,1220,0,2,0.12,0.6,0.01,0.04,Unfilled
26,453,7,2,2019-02-23T20:01:19Z,44,1,0,56917.jpg,2.7,0,Cook,279,Steve Cook,2,Steve Cook,135,Bournemouth,26,2340,1,1,1.44,0.81,0.06,0.03,Unfilled
27,222,3,2,2018-10-27T14:01:13Z,41,0,0,41320.jpg,2.2,0,Daniels,124,Daniels,2,Charlie Daniels,136,Bournemouth,16,1228,1,0,0.57,0.44,0.04,0.03,Unfilled
28,259,6,2,2018-11-10T17:31:13Z,43,0,0,54469.jpg,2.8,1,Smith,100,Adam Smith,4,Adam Smith,169,Bournemouth,18,1515,1,0,0.56,0.28,0.03,0.02,Unfilled
29,41,0,2,2019-01-31T14:31:18Z,42,0,0,149484.jpg,1.0,0,Mings,2,Mings,0,Tyrone Mings,338,Bournemouth,5,137,0,0,0.0,0.06,0.0,0.04,Unfilled
30,489,7,2,2018-12-30T19:01:16Z,50,0,0,126184.jpg,3.1,0,Aké,311,Aké,2,Nathan Aké,74,Bournemouth,27,2424,3,0,3.78,0.07,0.14,0.0,Unfilled
