,bps,clean_sheets,element_type,now_cost,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,selected_by_percent,total_points,yellow_cards,Player,PID,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90,Position,xAP,xGP,xAR,xAP90,xGP90,xAR90,xAR90pm
101,88,3,1,45,0,0,0,7.7,0,11,6.8,23,0,Jonas Lössl,302,Huddersfield,3,270,0,0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,85,3,2,45,0,0,0,7.0,0,0,3.6,21,0,Christopher Schindler,326,Huddersfield,3,270,0,0,0.0,0.86,0.0,0.29,Defender,2.58,0.0,2.58,0.8699999999999999,0.0,0.8699999999999999,0.1933333333333333
103,72,3,2,45,0,0,0,6.0,0,0,1.2,18,0,Chris Löwe,327,Huddersfield,3,270,0,0,0.01,0.0,0.0,0.0,Defender,0.0,0.06,0.06,0.0,0.0,0.0,0.0
104,50,2,2,50,0,0,0,4.7,0,0,0.5,14,1,Tommy Smith,324,Huddersfield,3,239,0,0,0.01,0.23,0.01,0.09,Defender,0.6900000000000001,0.06,0.75,0.27,0.06,0.33,0.066
106,73,3,3,57,0,0,0,6.3,0,0,11.7,19,0,Aaron Mooy,52,Huddersfield,3,270,1,1,0.12,0.56,0.04,0.19,Midfielder,1.6800000000000002,0.6,2.2800000000000002,0.5700000000000001,0.2,0.77,0.13508771929824562
107,7,1,3,50,0,0,0,1.7,0,0,0.1,5,0,Rajiv van La Parra,330,Huddersfield,3,129,0,0,0.11,0.12,0.08,0.08,Midfielder,0.36,0.55,0.91,0.24,0.4,0.64,0.128
108,34,3,3,45,0,0,0,2.7,0,0,0.6,8,1,Philip Billing,328,Huddersfield,3,242,0,0,0.02,0.57,0.01,0.21,Midfielder,1.71,0.1,1.81,0.63,0.05,0.68,0.1511111111111111
109,36,3,3,60,0,0,0,4.0,0,0,0.4,12,0,Elias Kachunga,57,Huddersfield,3,252,0,1,0.48,0.18,0.17,0.06,Midfielder,0.54,2.4,2.94,0.18,0.8500000000000001,1.03,0.17166666666666666
110,30,3,3,60,0,0,0,3.0,0,0,1.5,9,0,Tom Ince,308,Huddersfield,3,270,0,0,0.33,0.12,0.11,0.04,Midfielder,0.36,1.6500000000000001,2.0100000000000002,0.12,0.55,0.67,0.11166666666666668
111,3,1,3,55,0,0,0,1.0,0,0,0.1,3,2,Kasey Palmer,166,Huddersfield,3,124,0,0,0.08,0.05,0.06,0.03,Midfielder,0.15000000000000002,0.4,0.55,0.09,0.3,0.39,0.07090909090909091
114,47,3,4,61,0,0,0,5.0,0,0,4.9,15,2,Steve Mounie,16,Huddersfield,3,268,2,0,1.38,0.08,0.46,0.03,Forward,0.24,5.52,5.76,0.09,1.84,1.9300000000000002,0.3163934426229509
115,78,1,1,50,0,0,1,5.7,0,13,3.9,17,1,Kasper Schmeichel,182,Leicester,3,270,0,0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,41,1,2,45,0,0,0,1.7,0,0,3.0,5,2,Wes Morgan,184,Leicester,3,270,0,0,0.12,0.05,0.04,0.02,Defender,0.15000000000000002,0.72,0.87,0.06,0.24,0.3,0.06666666666666667
117,50,1,2,50,0,0,0,2.3,0,0,3.6,7,0,Christian Fuchs,185,Leicester,3,270,0,0,0.0,0.11,0.0,0.04,Defender,0.33,0.0,0.33,0.12,0.0,0.12,0.024
118,47,1,2,45,0,0,0,2.3,0,0,4.9,7,0,Danny Simpson,183,Leicester,3,270,0,0,0.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,77,1,2,51,0,0,0,6.3,0,0,6.1,19,0,Harry Maguire,41,Leicester,3,270,1,1,0.08,0.56,0.03,0.19,Defender,1.6800000000000002,0.48,2.16,0.5700000000000001,0.18,0.75,0.14705882352941177
120,57,1,3,85,0,0,0,6.0,0,0,5.0,18,0,Riyad Mahrez,186,Leicester,3,270,0,2,0.46,0.23,0.15,0.08,Midfielder,0.6900000000000001,2.3000000000000003,2.99,0.24,0.75,0.99,0.11647058823529412
121,34,1,3,55,0,0,0,3.0,0,0,3.0,9,0,Marc Albrighton,188,Leicester,3,241,0,1,0.11,0.89,0.04,0.33,Midfielder,2.67,0.55,3.2199999999999998,0.99,0.2,1.19,0.21636363636363634
125,30,1,3,50,0,0,0,2.3,0,0,0.5,7,0,Wilfred Ndidi,317,Leicester,3,270,0,0,0.02,0.0,0.01,0.0,Midfielder,0.0,0.1,0.1,0.0,0.05,0.05,0.01
126,80,1,4,86,0,0,0,5.7,0,0,10.9,17,0,Jamie Vardy,10,Leicester,3,257,2,0,0.92,0.68,0.32,0.24,Forward,2.04,3.68,5.720000000000001,0.72,1.28,2.0,0.23255813953488372
127,59,1,4,55,0,0,0,4.7,0,0,4.4,14,0,Shinji Okazaki,9,Leicester,3,213,2,0,1.8,0.15,0.76,0.06,Forward,0.44999999999999996,7.2,7.65,0.18,3.04,3.22,0.5854545454545454
129,31,1,1,50,0,0,0,3.0,0,2,1.6,6,1,Simon Mignolet,77,Liverpool,2,180,0,0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,41,1,2,55,0,0,0,2.3,0,0,1.6,7,1,Dejan Lovren,130,Liverpool,3,181,0,0,0.09,0.05,0.05,0.03,Defender,0.15000000000000002,0.54,0.6900000000000001,0.09,0.30000000000000004,0.39,0.07090909090909091
132,54,1,2,45,0,0,0,4.0,0,0,1.8,8,0,Alberto Moreno,134,Liverpool,2,180,0,0,0.05,0.12,0.02,0.06,Defender,0.36,0.30000000000000004,0.66,0.18,0.12,0.3,0.06666666666666667
133,77,2,2,45,0,0,0,5.7,0,0,1.3,17,1,Joseph Gomez,248,Liverpool,3,181,0,1,0.0,0.61,0.0,0.3,Defender,1.83,0.0,1.83,0.8999999999999999,0.0,0.8999999999999999,0.19999999999999998
134,79,2,2,55,0,0,0,4.3,0,0,3.1,13,0,Joel Matip,60,Liverpool,3,270,0,0,0.74,0.04,0.25,0.01,Defender,0.12,4.4399999999999995,4.56,0.03,1.5,1.53,0.2781818181818182
136,39,1,2,64,0,0,0,2.7,0,0,5.4,8,0,James Milner,78,Liverpool,3,99,0,0,0.22,0.08,0.2,0.08,Defender,0.24,1.32,1.56,0.24,1.2000000000000002,1.4400000000000002,0.225
138,29,2,3,55,0,0,0,2.3,0,0,1.6,7,1,Jordan Henderson,132,Liverpool,3,270,0,0,0.42,0.15,0.14,0.05,Midfielder,0.44999999999999996,2.1,2.55,0.15000000000000002,0.7000000000000001,0.8500000000000001,0.15454545454545457
139,49,1,3,50,0,0,0,4.0,0,0,7.3,8,0,Emre Can,131,Liverpool,2,176,0,1,0.11,0.94,0.05,0.48,Midfielder,2.82,0.55,3.37,1.44,0.25,1.69,0.33799999999999997
140,83,2,3,96,0,0,0,7.3,0,0,29.4,22,1,Sadio Mané,2,Liverpool,3,256,3,0,1.87,0.21,0.66,0.07,Midfielder,0.63,9.350000000000001,9.980000000000002,0.21000000000000002,3.3000000000000003,3.5100000000000002,0.36562500000000003
142,39,2,3,70,0,0,0,2.7,0,0,5.1,8,0,Georginio Wijnaldum,197,Liverpool,3,252,0,0,0.35,0.17,0.13,0.06,Midfielder,0.51,1.75,2.26,0.18,0.65,0.8300000000000001,0.11857142857142858
143,65,1,3,90,0,0,0,7.7,0,0,27.2,23,0,Mohamed Salah,11,Liverpool,3,208,2,1,2.81,0.73,1.22,0.32,Midfielder,2.19,14.05,16.240000000000002,0.96,6.1,7.06,0.7844444444444444
144,101,2,4,86,0,0,0,8.7,0,0,27.7,26,0,Roberto Firmino,4,Liverpool,3,257,2,2,1.48,1.56,0.52,0.55,Forward,4.68,5.92,10.6,1.6500000000000001,2.08,3.7300000000000004,0.4337209302325582
148,34,1,2,55,0,0,0,3.0,0,0,5.4,9,0,John Stones,123,Manchester City,3,158,0,0,0.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,45,1,2,60,0,0,0,2.7,0,0,5.9,8,2,Vincent Kompany,138,Manchester City,3,270,0,0,0.06,0.0,0.02,0.0,Defender,0.0,0.36,0.36,0.0,0.12,0.12,0.02
150,62,1,2,55,0,0,0,3.7,0,0,7.6,11,1,Nicolás Otamendi,137,Manchester City,3,270,0,0,0.48,0.0,0.16,0.0,Defender,0.0,2.88,2.88,0.0,0.96,0.96,0.17454545454545453
151,29,0,3,79,0,0,0,3.3,1,0,3.1,10,1,Raheem Sterling,6,Manchester City,3,141,2,0,0.44,0.05,0.28,0.03,Midfielder,0.15000000000000002,2.2,2.35,0.09,1.4000000000000001,1.4900000000000002,0.18860759493670887
152,54,1,3,99,0,0,0,2.7,0,0,19.5,8,0,Kevin De Bruyne,65,Manchester City,3,270,0,0,0.28,0.65,0.09,0.22,Midfielder,1.9500000000000002,1.4000000000000001,3.3500000000000005,0.66,0.44999999999999996,1.1099999999999999,0.11212121212121211
153,11,0,3,83,0,0,0,1.3,0,0,2.4,4,0,Leroy Sané,61,Manchester City,3,96,0,0,0.0,0.03,0.0,0.03,Midfielder,0.09,0.0,0.09,0.09,0.0,0.09,0.010843373493975902
154,46,1,4,115,0,0,0,4.0,0,0,11.2,12,0,Sergio Agüero,25,Manchester City,3,198,1,0,0.96,1.13,0.44,0.51,Forward,3.3899999999999997,3.84,7.2299999999999995,1.53,1.76,3.29,0.28608695652173916
156,73,3,1,55,0,0,0,6.3,0,6,34.2,19,0,David de Gea,107,Manchester United,3,270,0,0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,88,3,2,51,0,0,0,6.3,0,0,4.7,19,0,Phil Jones,243,Manchester United,3,270,0,0,0.54,0.0,0.18,0.0,Defender,0.0,3.24,3.24,0.0,1.08,1.08,0.21176470588235297
158,82,3,2,65,0,0,0,6.7,0,0,9.7,20,1,Antonio Valencia,142,Manchester United,3,270,0,0,0.04,0.11,0.01,0.04,Defender,0.33,0.24,0.5700000000000001,0.12,0.06,0.18,0.02769230769230769
159,47,0,2,45,0,0,0,1.3,0,0,1.8,4,0,Timothy Fosu-Mensah,109,Crystal Palace,3,260,0,0,0.01,0.0,0.0,0.0,Defender,0.0,0.06,0.06,0.0,0.0,0.0,0.0
160,81,3,2,55,0,0,0,6.0,0,0,3.2,18,0,Daley Blind,108,Manchester United,3,270,0,0,0.12,0.38,0.04,0.13,Defender,1.1400000000000001,0.72,1.86,0.39,0.24,0.63,0.11454545454545455
161,92,3,2,61,0,0,0,8.7,0,0,15.4,26,1,Eric Bailly,44,Manchester United,3,270,1,0,0.97,0.0,0.32,0.0,Defender,0.0,5.82,5.82,0.0,1.92,1.92,0.31475409836065577
162,48,3,3,70,0,0,0,3.0,0,0,3.2,9,0,Juan Mata,112,Manchester United,3,221,0,0,0.16,0.82,0.07,0.33,Midfielder,2.46,0.8,3.26,0.99,0.35000000000000003,1.34,0.19142857142857145
166,66,1,3,80,0,0,0,6.3,0,0,2.3,19,0,Anthony Martial,5,Manchester United,3,100,2,1,0.77,0.45,0.69,0.41,Midfielder,1.35,3.85,5.2,1.23,3.4499999999999997,4.68,0.585
167,106,3,3,83,0,0,0,8.7,0,0,21.0,26,1,Henrikh Mkhitaryan,59,Manchester United,3,250,0,5,0.31,2.24,0.11,0.81,Midfielder,6.720000000000001,1.55,8.270000000000001,2.43,0.55,2.9800000000000004,0.3590361445783133
168,78,3,3,82,0,0,0,8.7,0,0,36.1,26,1,Paul Pogba,14,Manchester United,3,270,2,1,1.52,0.48,0.51,0.16,Midfielder,1.44,7.6,9.04,0.48,2.55,3.03,0.3695121951219512
169,48,2,4,75,0,0,0,4.3,0,0,5.4,13,0,Marcus Rashford,22,Manchester United,3,179,1,1,0.84,0.83,0.42,0.42,Forward,2.4899999999999998,3.36,5.85,1.26,1.68,2.94,0.392
170,80,3,4,117,0,1,0,6.3,0,0,58.2,19,0,Romelu Lukaku,1,Manchester United,3,270,3,0,3.01,0.4,1.0,0.13,Forward,1.2000000000000002,12.04,13.239999999999998,0.39,4.0,4.39,0.3752136752136752
171,55,1,1,40,0,0,0,3.7,0,9,19.5,11,0,Robert Elliot,192,Newcastle United,3,270,0,0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,66,1,2,45,0,0,0,6.0,0,0,1.3,18,0,Ciaran Clark,37,Newcastle United,3,270,1,0,0.58,0.47,0.19,0.16,Defender,1.41,3.4799999999999995,4.89,0.48,1.1400000000000001,1.62,0.36000000000000004
173,44,1,2,45,0,0,0,2.7,0,0,1.3,8,1,Jamaal Lascelles,194,Newcastle United,3,263,0,0,0.0,0.03,0.0,0.01,Defender,0.09,0.0,0.09,0.03,0.0,0.03,0.006666666666666666
176,43,1,3,59,0,0,0,2.7,0,0,2.5,8,2,Matt Ritchie,70,Newcastle United,3,270,0,1,0.28,0.61,0.09,0.2,Midfielder,1.83,1.4000000000000001,3.2300000000000004,0.6000000000000001,0.44999999999999996,1.05,0.17796610169491525
179,22,1,3,50,0,0,0,3.3,0,0,3.1,10,0,Christian Atsu,296,Newcastle United,3,270,0,1,0.47,0.71,0.16,0.24,Midfielder,2.13,2.3499999999999996,4.4799999999999995,0.72,0.8,1.52,0.304
180,4,0,4,64,0,0,0,1.5,0,0,1.4,3,0,Dwight Gayle,181,Newcastle United,2,132,0,0,0.33,0.0,0.23,0.0,Forward,0.0,1.32,1.32,0.0,0.92,0.92,0.14375
181,20,1,4,55,0,0,0,3.0,0,0,1.1,9,0,Ayoze Pérez,196,Newcastle United,3,261,0,1,0.64,1.02,0.22,0.35,Forward,3.06,2.56,5.62,1.0499999999999998,0.88,1.9299999999999997,0.35090909090909084
183,66,2,1,50,0,0,0,6.7,0,12,7.3,20,0,Fraser Forster,214,Southampton,3,270,0,0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,63,2,2,55,0,0,0,5.0,0,0,15.6,15,0,Ryan Bertrand,217,Southampton,3,267,0,0,0.32,0.76,0.11,0.25,Defender,2.2800000000000002,1.92,4.2,0.75,0.66,1.4100000000000001,0.2563636363636364
185,71,2,2,50,0,0,0,5.7,0,0,2.5,17,0,Maya Yoshida,222,Southampton,3,270,0,0,0.39,0.0,0.13,0.0,Defender,0.0,2.34,2.34,0.0,0.78,0.78,0.156
186,70,2,2,50,0,0,0,4.7,0,0,0.9,14,0,Jack Stephens,283,Southampton,3,270,0,0,0.08,0.1,0.03,0.03,Defender,0.30000000000000004,0.48,0.78,0.09,0.18,0.27,0.054000000000000006
188,65,2,3,50,0,0,0,3.7,0,0,1.0,11,0,Steven Davis,234,Southampton,3,263,0,0,0.18,0.42,0.06,0.14,Midfielder,1.26,0.8999999999999999,2.16,0.42000000000000004,0.3,0.72,0.144
189,17,1,3,54,0,0,0,1.7,0,0,1.8,5,0,James Ward-Prowse,221,Southampton,3,112,0,0,0.37,0.13,0.3,0.1,Midfielder,0.39,1.85,2.24,0.30000000000000004,1.5,1.8,0.3333333333333333
190,45,2,3,65,0,0,0,4.0,0,0,4.6,12,1,Dusan Tadic,32,Southampton,3,255,1,0,1.53,0.35,0.54,0.12,Midfielder,1.0499999999999998,7.65,8.7,0.36,2.7,3.06,0.4707692307692308
192,26,2,3,65,0,0,0,3.3,0,0,6.8,10,1,Nathan Redmond,202,Southampton,3,270,0,1,0.71,0.59,0.24,0.2,Midfielder,1.77,3.55,5.32,0.6000000000000001,1.2,1.8,0.27692307692307694
195,35,2,4,70,0,0,0,3.7,0,0,5.6,11,0,Manolo Gabbiadini,38,Southampton,3,225,1,0,0.49,0.02,0.2,0.01,Forward,0.06,1.96,2.02,0.03,0.8,0.8300000000000001,0.11857142857142858
196,60,1,1,50,0,0,0,5.3,0,10,3.9,16,0,Jack Butland,226,Stoke,3,270,0,0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,45,1,2,50,0,0,0,3.3,0,0,1.8,10,0,Ryan Shawcross,236,Stoke,3,270,0,0,0.25,0.12,0.08,0.04,Defender,0.36,1.5,1.8599999999999999,0.12,0.48,0.6,0.12
198,42,1,2,45,0,0,0,3.3,0,0,0.7,10,0,Geoff Cameron,227,Stoke,3,250,0,0,0.05,0.02,0.02,0.01,Defender,0.06,0.30000000000000004,0.36000000000000004,0.03,0.12,0.15,0.03333333333333333
199,40,1,2,50,0,0,0,3.0,0,0,0.9,9,1,Erik Pieters,237,Stoke,3,270,0,0,0.0,0.06,0.0,0.02,Defender,0.18,0.0,0.18,0.06,0.0,0.06,0.012
200,28,1,3,54,0,0,0,1.7,0,0,3.3,5,2,Joe Allen,74,Stoke,3,270,0,0,0.03,0.06,0.01,0.02,Midfielder,0.18,0.15,0.32999999999999996,0.06,0.05,0.11,0.02037037037037037
201,-1,0,3,69,0,0,0,0.0,1,0,0.9,0,0,Marko Arnautovic,229,West Ham,2,122,0,0,0.19,0.4,0.14,0.29,Midfielder,1.2000000000000002,0.95,2.1500000000000004,0.8699999999999999,0.7000000000000001,1.5699999999999998,0.22753623188405794
202,23,0,3,59,0,0,0,1.7,0,0,2.3,5,0,Xherdan Shaqiri,238,Stoke,3,204,0,0,0.06,0.29,0.03,0.13,Midfielder,0.8699999999999999,0.3,1.17,0.39,0.15,0.54,0.09152542372881356
204,42,1,3,50,0,0,0,2.3,0,0,0.9,7,0,Darren Fletcher,207,Stoke,3,270,0,0,0.05,0.19,0.02,0.06,Midfielder,0.5700000000000001,0.25,0.8200000000000001,0.18,0.1,0.28,0.05600000000000001
206,16,1,4,54,0,0,0,2.0,0,0,0.3,4,0,Mame Biram Diouf,230,Stoke,2,180,0,0,0.11,0.07,0.06,0.03,Forward,0.21000000000000002,0.44,0.65,0.09,0.24,0.32999999999999996,0.0611111111111111
207,17,1,4,60,0,0,0,3.5,0,0,0.6,7,0,Saido Berahino,208,Stoke,2,139,0,1,0.08,0.15,0.05,0.1,Forward,0.44999999999999996,0.32,0.77,0.30000000000000004,0.2,0.5,0.08333333333333333
208,67,2,1,45,0,0,0,4.7,0,9,4.1,14,0,Lukasz Fabianski,167,Swansea,3,270,0,0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,80,2,2,45,0,0,0,6.3,0,0,3.0,19,0,Kyle Naughton,175,Swansea,3,270,0,1,0.0,0.08,0.0,0.03,Defender,0.24,0.0,0.24,0.09,0.0,0.09,0.02
211,69,2,2,45,0,0,0,5.0,0,0,2.4,15,0,Federico Fernández,169,Swansea,3,270,0,0,0.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,58,2,2,50,0,0,0,4.0,0,0,1.1,12,0,Alfie Mawson,279,Swansea,3,270,0,0,0.12,0.0,0.04,0.0,Defender,0.0,0.72,0.72,0.0,0.24,0.24,0.048
214,55,2,2,50,0,0,0,4.0,0,0,0.3,12,0,Martin Olsson,203,Swansea,3,270,0,0,0.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,19,0,3,84,0,0,0,1.5,0,0,5.2,3,0,Gylfi Sigurdsson,174,Everton,2,117,0,0,0.02,0.05,0.02,0.03,Midfielder,0.15000000000000002,0.1,0.25,0.09,0.1,0.19,0.02261904761904762
216,10,1,3,55,0,0,0,1.7,0,0,0.1,5,0,Wayne Routledge,176,Swansea,3,126,0,0,0.0,0.11,0.0,0.08,Midfielder,0.33,0.0,0.33,0.24,0.0,0.24,0.04363636363636363
219,34,2,3,55,0,0,0,3.0,0,0,0.6,9,2,Leroy Fer,171,Swansea,3,270,0,1,0.08,0.33,0.03,0.11,Midfielder,0.99,0.4,1.3900000000000001,0.33,0.15,0.48,0.08727272727272727
220,40,2,3,45,0,0,0,2.7,0,0,6.2,8,0,Tom Carroll,153,Swansea,3,270,0,0,0.0,0.39,0.0,0.13,Midfielder,1.17,0.0,1.17,0.39,0.0,0.39,0.08666666666666667
224,35,2,4,50,0,0,0,3.3,0,0,2.2,10,0,Jordan Ayew,28,Swansea,3,270,1,0,0.21,0.0,0.07,0.0,Forward,0.0,0.84,0.84,0.0,0.28,0.28,0.05600000000000001
225,36,2,4,55,0,0,0,4.0,0,0,3.0,12,0,Tammy Abraham,30,Swansea,3,247,1,0,0.75,0.1,0.27,0.04,Forward,0.30000000000000004,3.0,3.3,0.12,1.08,1.2000000000000002,0.21818181818181823
226,51,1,1,55,0,0,0,3.3,0,5,13.6,10,0,Hugo Lloris,144,Tottenham,3,270,0,0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,59,1,2,60,0,0,0,3.0,0,0,14.7,9,1,Toby Alderweireld,146,Tottenham,3,270,0,0,0.07,0.02,0.02,0.01,Defender,0.06,0.42000000000000004,0.48000000000000004,0.03,0.12,0.15,0.024999999999999998
228,17,1,2,65,0,0,0,2.0,1,0,12.8,4,0,Kyle Walker,145,Manchester City,2,133,0,0,0.0,0.03,0.0,0.02,Defender,0.09,0.0,0.09,0.06,0.0,0.06,0.00923076923076923
229,60,1,2,60,0,0,0,2.7,0,0,8.6,8,1,Jan Vertonghen,147,Tottenham,3,270,0,0,0.04,0.02,0.01,0.01,Defender,0.06,0.24,0.3,0.03,0.06,0.09,0.015
230,71,1,2,56,0,0,0,6.0,0,0,12.5,18,1,Ben Davies,27,Tottenham,3,263,1,0,0.28,0.65,0.1,0.22,Defender,1.9500000000000002,1.6800000000000002,3.6300000000000003,0.66,0.6000000000000001,1.2600000000000002,0.22500000000000006
231,33,0,2,54,0,0,0,1.5,0,0,2.7,3,0,Kieran Trippier,152,Tottenham,2,180,0,0,0.0,0.03,0.0,0.01,Defender,0.09,0.0,0.09,0.03,0.0,0.03,0.005555555555555555
232,35,1,3,50,0,0,0,2.0,0,0,3.7,6,1,Eric Dier,149,Tottenham,3,251,0,0,0.13,0.1,0.05,0.04,Midfielder,0.30000000000000004,0.65,0.9500000000000001,0.12,0.25,0.37,0.074
233,56,1,3,50,0,0,0,2.3,0,0,3.5,7,0,Mousa Dembélé,148,Tottenham,3,270,0,0,0.12,0.09,0.04,0.03,Midfielder,0.27,0.6,0.87,0.09,0.2,0.29000000000000004,0.05800000000000001
234,80,2,3,96,0,0,0,7.3,0,0,21.8,22,0,Christian Eriksen,150,Tottenham,3,269,0,2,0.42,1.21,0.14,0.41,Midfielder,3.63,2.1,5.73,1.23,0.7000000000000001,1.9300000000000002,0.2010416666666667
235,14,0,3,50,0,0,0,1.5,0,0,0.8,3,0,Victor Wanyama,218,Tottenham,2,95,0,0,0.05,0.09,0.05,0.08,Midfielder,0.27,0.25,0.52,0.24,0.25,0.49,0.098
238,-2,1,4,125,0,0,0,1.3,0,0,27.1,4,2,Harry Kane,151,Tottenham,3,270,0,0,2.55,0.23,0.85,0.08,Forward,0.6900000000000001,10.2,10.889999999999999,0.24,3.4,3.6399999999999997,0.29119999999999996
240,62,2,1,45,0,0,0,4.7,0,6,1.9,14,0,Heurelho Gomes,114,Watford,3,270,0,0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,48,2,2,45,0,0,0,6.0,0,0,0.5,12,0,Sebastian Prödl,116,Watford,2,180,0,0,0.0,0.01,0.0,0.0,Defender,0.03,0.0,0.03,0.0,0.0,0.0,0.0
244,45,1,2,50,0,0,0,5.0,0,0,0.7,10,0,José Holebas,117,Watford,2,180,0,1,0.03,0.7,0.02,0.35,Defender,2.0999999999999996,0.18,2.28,1.0499999999999998,0.12,1.17,0.23399999999999999
245,40,1,2,45,0,0,0,3.3,1,0,2.4,10,1,Miguel Britos,23,Watford,3,203,1,0,0.81,0.0,0.36,0.0,Defender,0.0,4.86,4.86,0.0,2.16,2.16,0.48000000000000004
