,bps,clean_sheets,element_type,now_cost,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,selected_by_percent,total_points,yellow_cards,Player,PID,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90,Position,xAP,xGP,xAR,xAP90,xGP90,xAR90,xAR90pm
282,8,0,3,50,0,0,0,1.5,0,0,0.6,3,0,Tiemoué Bakayoko,301,Chelsea,2,103,0,0,0.07,0.0,0.06,0.0,Midfielder,0.0,0.35000000000000003,0.35000000000000003,0.0,0.3,0.3,0.06
284,29,0,2,55,0,0,0,1.3,0,0,0.2,4,0,Andreas Christensen,54,Chelsea,3,164,0,0,0.0,0.03,0.0,0.01,Defender,0.09,0.0,0.09,0.03,0.0,0.03,0.005454545454545454
286,70,2,4,101,0,0,0,8.0,0,0,12.2,24,0,Álvaro Morata,15,Chelsea,3,190,2,2,1.44,0.62,0.68,0.3,Forward,1.8599999999999999,5.76,7.619999999999999,0.8999999999999999,2.72,3.62,0.35841584158415846
288,46,1,2,45,0,0,0,3.0,0,0,1.1,9,0,Javier Manquillo,276,Newcastle United,3,270,0,0,0.02,0.38,0.01,0.13,Defender,1.1400000000000001,0.12,1.2600000000000002,0.39,0.06,0.45,0.1
289,48,0,1,45,0,0,0,1.0,0,9,10.8,3,0,Joe Hart,135,West Ham,3,270,0,0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,38,1,3,55,0,0,0,2.3,0,0,0.1,7,0,Davy Pröpper,338,Brighton,3,270,0,0,0.07,0.01,0.02,0.0,Midfielder,0.03,0.35000000000000003,0.38,0.0,0.1,0.1,0.018181818181818184
296,52,1,2,40,0,0,0,3.7,0,0,7.4,11,0,Chancel Mbemba,224,Newcastle United,3,237,0,0,0.0,0.02,0.0,0.01,Defender,0.06,0.0,0.06,0.03,0.0,0.03,0.0075
297,30,1,3,50,0,0,0,1.7,0,0,0.1,5,1,Mikel Merino,316,Newcastle United,3,191,0,0,0.02,0.33,0.01,0.15,Midfielder,0.99,0.1,1.09,0.44999999999999996,0.05,0.49999999999999994,0.09999999999999999
298,11,1,3,55,0,0,0,2.0,0,0,0.2,6,0,Eric Maxim Choupo-Moting,62,Stoke,3,197,0,0,0.33,0.12,0.15,0.05,Midfielder,0.36,1.6500000000000001,2.0100000000000002,0.15000000000000002,0.75,0.9,0.16363636363636364
300,24,1,3,50,0,0,0,2.5,0,0,0.2,5,0,Mario Lemina,254,Southampton,2,133,0,0,0.01,0.07,0.01,0.04,Midfielder,0.21000000000000002,0.05,0.26,0.12,0.05,0.16999999999999998,0.033999999999999996
303,22,0,2,45,0,0,0,0.7,0,0,0.0,2,0,Declan Rice,319,West Ham,3,159,0,0,0.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,22,0,2,50,0,0,0,1.5,0,0,0.0,3,0,Bruno Martins Indi,286,Stoke,2,91,0,0,0.12,0.02,0.12,0.02,Defender,0.06,0.72,0.78,0.06,0.72,0.78,0.156
